id,first_name,second_name,position,value,team_id,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes
5,Karl,Hein,GK,40,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,David,Raya Martin,GK,55,1,,1.6666666666666667,0.6966666666666669,4.666666666666667,90.0,17.666666666666668,2.0,0.78,3.8,90.0,16.2,1.875,0.9025,2.75,90.0,11.125,2.75,1.0225000000000002,3.1666666666666665,90.0,12.666666666666666,0.14285714285714285,0.0,90.0
73,Norberto,Murara Neto,GK,42,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,Tommy,Setford,GK,45,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Joe,Gauci,GK,40,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Filip,Marschall,GK,40,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Emiliano,Martínez Romero,GK,50,2,,2.3333333333333335,1.0366666666666666,1.6666666666666667,75.0,7.333333333333333,2.4,1.514,1.4,81.0,5.6,2.625,1.2725,3.25,84.375,11.5,2.4166666666666665,1.1016666666666666,2.75,86.25,10.166666666666666,0.07142857142857142,0.07142857142857142,78.75
51,Robin,Olsen,GK,45,2,,0.6666666666666666,0.26333333333333336,0.3333333333333333,15.0,1.0,0.4,0.158,0.2,9.0,0.6,0.25,0.09875,0.125,5.625,0.375,0.16666666666666666,0.06583333333333334,0.08333333333333333,3.75,0.25,0.0,0.0,45.0
55,Viljami,Sinisalo,GK,40,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,Oliwier,Zych,GK,40,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Alex,Paulsen,GK,40,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Mark,Travers,GK,44,3,,0.0,0.0,0.0,0.0,0.0,0.6,0.312,0.6,18.0,2.0,1.25,0.42125,1.0,22.5,3.75,1.0,0.3458333333333334,0.8333333333333334,22.5,3.1666666666666665,0.0,0.0,90.0
152,Kepa,Arrizabalaga,GK,45,3,,2.3333333333333335,0.6599999999999998,3.0,90.0,11.666666666666666,2.0,0.692,2.2,72.0,7.8,1.5,0.61625,2.375,67.5,8.875,2.4166666666666665,0.7966666666666667,2.3333333333333335,67.5,8.666666666666666,0.1111111111111111,0.0,90.0
599,Will,Dennis,GK,40,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Mark,Flekken,GK,45,4,,4.666666666666667,1.5633333333333332,4.666666666666667,90.0,19.333333333333332,5.0,1.734,3.8,90.0,17.8,4.875,1.54375,3.25,90.0,15.125,4.75,1.7166666666666668,3.0,90.0,14.916666666666666,0.0,0.0,90.0
109,Hákon,Valdimarsson,GK,40,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Jason,Steele,GK,42,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
