team_a,team_h,strength_attack_h,strength_attack_a,strength_defense_h,strength_defense_a,short_name_h,short_name_a,gameweek
17,5,1070,1070,1130,1060,BHA,SOU,13
11,4,1080,1120,1100,1080,BRE,LEI,13
15,7,1100,1130,1090,1310,CRY,NEW,13
10,16,1140,1080,1120,1100,NFO,IPS,13
3,20,1060,1130,1090,1160,WOL,BOU,13
1,19,1080,1360,1120,1390,WHU,ARS,13
2,6,1130,1140,1320,1300,CHE,AVL,13
8,14,1130,1100,1120,1100,MUN,EVE,13
9,18,1110,1140,1330,1180,TOT,FUL,13
13,12,1360,1350,1340,1390,LIV,MCI,13
7,10,1070,1100,1050,1090,IPS,CRY,14
19,11,1060,1070,1090,1130,LEI,WHU,14
20,8,1080,1060,1080,1120,EVE,WOL,14
16,13,1350,1130,1360,1070,MCI,NFO,14
12,15,1100,1370,1130,1360,NEW,LIV,14
6,17,1060,1130,1060,1330,SOU,CHE,14
14,1,1360,1140,1340,1170,ARS,MUN,14
4,2,1120,1120,1200,1190,AVL,BRE,14
5,9,1100,1130,1100,1220,FUL,BHA,14
18,3,1070,1170,1130,1350,BOU,TOT,14
12,8,1080,1370,1080,1360,EVE,LIV,15
17,2,1120,1070,1200,1060,AVL,SOU,15
15,4,1080,1130,1100,1310,BRE,NEW,15
13,7,1100,1350,1090,1390,CRY,MCI,15
16,14,1130,1130,1120,1070,MUN,NFO,15
1,9,1100,1360,1100,1390,FUL,ARS,15
3,10,1070,1130,1050,1160,IPS,BOU,15
5,11,1060,1130,1090,1220,LEI,BHA,15
6,18,1110,1130,1330,1330,TOT,CHE,15
20,19,1080,1060,1120,1120,WHU,WOL,15
8,1,1360,1100,1340,1100,ARS,EVE,16
9,12,1360,1140,1340,1180,LIV,FUL,16
11,15,1100,1120,1130,1080,NEW,LEI,16
10,20,1060,1080,1090,1100,WOL,IPS,16
2,16,1140,1140,1120,1300,NFO,AVL,16
7,5,1070,1100,1130,1090,BHA,CRY,16
14,13,1350,1140,1360,1170,MCI,MUN,16
4,6,1130,1120,1320,1190,CHE,BRE,16
18,17,1060,1170,1060,1350,SOU,TOT,16
19,3,1070,1070,1130,1130,BOU,WHU,16
13,2,1120,1350,1200,1390,AVL,MCI,17
16,4,1080,1130,1100,1070,BRE,NFO,17
15,10,1070,1130,1050,1310,IPS,NEW,17
5,19,1080,1130,1120,1220,WHU,BHA,17
1,7,1100,1360,1090,1390,CRY,ARS,17
6,8,1080,1130,1080,1330,EVE,CHE,17
17,9,1100,1070,1100,1060,FUL,SOU,17
20,11,1060,1060,1090,1120,LEI,WOL,17
3,14,1130,1130,1120,1160,MUN,BOU,17
12,18,1110,1370,1330,1360,TOT,LIV,17
8,13,1350,1100,1360,1100,MCI,EVE,18
7,3,1070,1100,1130,1090,BOU,CRY,18
9,6,1130,1140,1320,1180,CHE,FUL,18
2,15,1100,1140,1130,1300,NEW,AVL,18
18,16,1140,1170,1120,1350,NFO,TOT,18
19,17,1060,1070,1060,1130,SOU,WHU,18
14,20,1060,1140,1090,1170,WOL,MUN,18
11,12,1360,1120,1340,1080,LIV,LEI,18
4,5,1070,1120,1130,1190,BHA,BRE,18
10,1,1360,1080,1340,1100,ARS,IPS,18
