assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position,modified
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31,0,3,0,0,0,0,18,0,0,0,2,0,0.0,0,0,0,0,45,False,0,David Ozoh,212,0,0,0,0.0,7,BOU,1020,1050,CRY,1110,1090,0.9011385,5.25,1.37184975,6.5,1.0479242,4.333333333333333,1.5306146666666665,9.733333333333333,1.33574075,5.0,1.7756139999999998,8.0,0.8604889375,4.9375,1.7076688125,9.75,2022,MID,
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-01-04,0,18,0,0,0,0,19,0,17,0,4,0,0.0,0,10,11,1,45,True,0,David Ozoh,212,0,0,0,0.0,7,TOT,1210,1230,CRY,1110,1060,1.0883385,5.5,1.256297,6.5,1.0919689375,4.5625,1.4909399375,9.625,1.4627475,5.5,1.6631874999999998,6.75,1.6202045,6.625,1.3218046875,7.5625,2022,MID,
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2023-01-15,0,6,0,0,0,0,20,0,58,0,0,1,0.0,0,14,26,12,45,False,0,David Ozoh,212,0,0,0,0.0,7,CHE,1190,1140,CRY,1110,1090,1.02685975,5.25,1.6244372500000002,8.5,1.065791125,4.5625,1.5052605625,9.375,1.544879,6.25,0.96481875,6.5,1.2018035,6.625,1.4747618125000002,5.1875,2022,MID,
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-01-18,0,14,0,0,0,0,20,0,58,0,1,1,0.0,0,14,26,12,45,True,0,David Ozoh,212,0,0,0,0.0,7,MUN,1220,1220,CRY,1110,1060,0.94982125,5.25,1.84752475,9.75,1.015334,4.625,1.4986299374999998,8.6875,2.3850175,14.25,0.62018,4.0,1.816965875,9.5625,1.0442030625,7.5,2022,MID,
0,0,3,0,0.8,676,0.0,0.0,0.0,0.0,203,0,0,0.1,0.0,2023-01-21,1,15,0,0,0,0,21,0,72,0,0,0,0.0,1,4,17,13,45,True,0,David Ozoh,212,0,0,0,0.0,7,NEW,1300,1220,CRY,1110,1060,0.9477175,5.5,1.52129975,9.5,0.8592070625000001,4.3125,1.5355388125,9.25,1.86859075,7.75,0.6971495,5.0,1.9777993125,9.625,0.92015735625,5.25,2022,MID,
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,216,0,0,0.0,0.0,2023-02-04,0,14,0,0,0,0,22,0,112,0,1,2,0.0,0,11,34,23,45,False,0,David Ozoh,212,0,0,0,0.0,7,MUN,1140,1165,CRY,1110,1090,0.592846,4.25,1.658305,10.75,0.8742806875,4.4375,1.4766975624999998,8.9375,1.6556815,8.75,1.18301025,7.5,1.7110525,9.1875,1.071339875,6.9375,2022,MID,
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2023-02-11,0,5,0,0,0,0,23,0,142,0,1,1,0.0,0,15,25,10,45,True,0,David Ozoh,212,0,0,0,0.0,7,BHA,1150,1200,CRY,1110,1060,0.74091475,3.25,1.7596075,11.25,0.911933,4.625,1.5049644375,9.125,2.35245,11.0,1.1812995000000002,3.25,1.8559545,10.1875,1.3874432499999998,5.9375,2022,MID,
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,232,0,0,0.0,0.0,2023-02-18,0,4,0,0,0,0,24,0,174,0,1,1,0.0,0,19,38,19,45,False,0,David Ozoh,212,0,0,0,0.0,7,BRE,1100,1130,CRY,1110,1090,0.763643,3.0,1.8895925,11.0,0.91241325,4.5,1.4889075625,9.0,1.503035,8.75,0.6639460000000001,8.75,1.547834375,6.3125,1.3086524375000002,10.1875,2022,MID,
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25,0,12,0,0,0,0,25,0,212,0,0,0,0.0,0,13,44,31,45,True,0,David Ozoh,212,0,0,0,0.0,7,LIV,1250,1300,CRY,1110,1060,0.94081325,3.0,1.69352625,11.0,0.938172625,4.5625,1.448597875,9.0,1.750395,8.75,1.65720025,5.0,1.9624294375,9.25,1.852042875,6.75,2022,MID,
0,0,0,0,0.0,676,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2023-03-04,0,2,0,0,0,0,26,0,231,0,0,1,0.0,0,17,32,15,45,False,0,David Ozoh,212,0,0,0,0.0,7,AVL,1070,1070,CRY,1110,1090,1.10479625,2.5,1.67037375,9.0,0.89674425,4.3125,1.46644725,8.6875,1.0425924999999998,6.5,2.6271525,8.75,1.2622394375,5.875,1.8401013125,6.5,2022,MID,
