assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position,modified
0,0,3,0,13.1,294,0.0166816990822553,0.02,0.0,0.92,4,1,0,2.1,4.0,2022-08-06,39,9,0,0,0,0,1,0,11317,0,2,2,4.0,1,0,0,0,50,False,0,Harvey Elliott,319,0,1,0,0.0,12,FUL,1070,1120,LIV,1250,1300,2.5443240000000005,15.6,1.1510154,4.0,2.5443240000000005,15.6,1.1510154,4.0,1.4505254,4.2,1.8275730000000003,8.2,1.4505254,4.2,1.8275730000000003,8.2,2022,MID,
0,2,25,0,27.4,294,0.3306159973144531,0.39,0.1861030012369156,0.71,16,1,0,10.7,20.6,2022-08-15,78,7,0,0,0,0,2,0,17429,1,1,1,59.0,4,2427,4672,2245,50,True,0,Harvey Elliott,319,3,2,0,0.1861030012369156,12,CRY,1110,1090,LIV,1180,1260,2.34111,11.0,1.26822,4.0,2.34111,11.0,1.26822,4.0,1.20637,8.0,1.43601,13.0,1.20637,8.0,1.43601,13.0,2022,MID,
0,0,7,0,26.2,294,0.1335339993238449,0.37,0.2066400051116943,1.79,27,2,0,6.4,3.8,2022-08-22,90,14,0,0,0,0,3,0,36400,1,1,2,34.0,2,13987,21118,7131,50,False,0,Harvey Elliott,319,4,2,0,0.2066400051116943,12,MUN,1140,1165,LIV,1250,1300,2.288535,15.5,1.4564499999999998,3.0,2.288535,15.5,1.4564499999999998,3.0,1.158534,9.0,1.558375,4.0,1.158534,9.0,1.558375,4.0,2022,MID,
0,0,32,0,17.8,294,0.9698240160942078,0.81,0.056683100759983,0.24,36,0,1,7.1,39.8,2022-08-27,45,3,0,0,0,0,4,0,42458,1,0,9,13.0,6,3675,12544,8869,50,True,0,Harvey Elliott,319,1,1,1,0.056683100759983,12,BOU,1110,1080,LIV,1180,1260,2.03336,15.666666666666666,1.6435133333333332,4.666666666666667,2.03336,15.666666666666666,1.6435133333333332,4.666666666666667,0.307874,1.3333333333333333,1.2967816666666667,10.0,0.307874,1.3333333333333333,1.2967816666666667,10.0,2022,MID,
0,0,12,0,18.7,294,0.01982899941504,0.16,0.0907026976346969,0.72,48,1,0,5.8,13.8,2022-08-31,90,15,0,0,0,0,5,0,84826,1,1,2,25.0,2,35336,45236,9900,50,True,0,Harvey Elliott,319,1,1,0,0.0907026976346969,12,NEW,1300,1220,LIV,1180,1260,2.7401075,16.25,1.2778827499999998,4.5,2.7401075,16.25,1.2778827499999998,4.5,1.547343,12.0,1.66261875,7.25,1.547343,12.0,1.66261875,7.25,2022,MID,
0,0,7,1,2.5,294,0.0,0.05,0.0416171997785568,1.63,55,0,0,2.7,7.0,2022-09-03,79,8,0,0,0,0,6,0,137171,1,0,0,17.0,3,44416,61404,16988,50,False,0,Harvey Elliott,319,1,0,0,0.0416171997785568,12,EVE,1070,1040,LIV,1250,1300,2.5951275000000003,16.75,1.12171425,4.0,2.5443240000000005,15.6,1.1510154,4.0,1.4089225,5.5,1.72867375,8.0,1.2355346,5.0,1.767569,7.8,2022,MID,
0,0,3,0,16.6,294,0.0393266007304191,0.12,0.0436153002083301,0.52,87,1,0,2.4,3.2,2022-10-01,31,5,0,0,0,0,9,0,122798,0,3,3,4.0,1,-2651,11831,14482,50,True,0,Harvey Elliott,319,1,1,0,0.0436153002083301,12,BHA,1150,1200,LIV,1180,1260,2.382680000000001,14.75,1.05846675,6.0,2.3512983333333337,15.0,1.1911278333333333,5.0,1.98039,5.5,1.0134485,5.5,1.8764683333333327,7.0,0.9431293333333334,5.166666666666667,2022,MID,
0,0,3,0,1.0,294,0.0,0.08,0.0241864006966352,0.0,91,0,0,1.4,2.8,2022-10-09,9,1,0,0,0,0,10,0,103590,0,2,3,10.0,1,-19363,3809,23172,50,False,0,Harvey Elliott,319,1,0,0,0.0241864006966352,12,ARS,1250,1240,LIV,1250,1300,2.5398025,14.0,1.14547425,5.75,2.3227557142857145,14.714285714285714,1.3589195714285716,5.285714285714286,2.0065825,13.75,1.0922545,3.25,2.082265,12.875,0.925426125,3.5,2022,MID,
0,0,10,1,16.6,294,0.1954260021448135,0.47,0.0798697024583816,0.81,106,0,0,4.8,3.2,2022-10-16,72,13,0,0,0,0,11,0,95084,1,0,1,28.0,3,-9439,3498,12937,50,True,0,Harvey Elliott,319,2,1,0,0.0798697024583816,12,MCI,1340,1380,LIV,1180,1260,1.51600275,10.5,1.8051465,8.25,2.128055125,13.375,1.541514625,6.375,2.273005,12.25,0.6012212499999999,2.75,2.585195555555556,12.333333333333334,0.6454941111111111,2.6666666666666665,2022,MID,
0,0,3,0,1.3,294,0.0,0.02,0.0170747004449367,0.75,118,0,0,1.2,2.2,2022-10-19,33,19,0,0,0,0,12,0,101236,0,0,1,8.0,1,6789,12146,5357,50,True,0,Harvey Elliott,319,1,0,0,0.0170747004449367,12,WHU,1150,1110,LIV,1180,1260,1.57550525,8.75,1.87213325,12.0,2.113737888888889,12.555555555555555,1.4715122222222223,7.555555555555555,1.70968025,5.25,0.51201125,5.0,1.3216742,4.3,1.0168758,5.1,2022,MID,
0,0,19,0,42.9,294,0.4726549983024597,0.43,0.0624949000775814,1.85,126,1,0,8.4,16.2,2022-10-22,90,16,0,0,0,0,13,0,106353,1,0,1,25.0,2,3254,11786,8532,50,False,0,Harvey Elliott,319,1,3,0,0.0624949000775814,12,NFO,1065,1030,LIV,1250,1300,1.78912775,7.75,2.14583325,10.5,2.1264301,12.1,1.57301,7.2,0.72141225,2.0,1.30811175,9.0,0.9351790909090908,3.1818181818181817,1.740811636363636,9.636363636363637,2022,MID,
0,0,2,0,2.0,294,0.0,0.03,0.0164020005613565,1.62,138,1,0,0.2,0.0,2022-10-29,59,24,0,0,0,0,14,0,104934,1,2,1,1.0,1,-2031,9251,11282,50,True,0,Harvey Elliott,319,1,0,0,0.0164020005613565,12,LEE,1075,1120,LIV,1180,1260,1.80063275,7.75,2.17982325,10.25,2.1328928181818183,12.181818181818182,1.65743,7.090909090909091,1.56161,7.75,1.4010165,4.25,1.4210123636363636,6.818181818181818,1.4757734545454546,5.727272727272728,2022,MID,
0,0,12,0,3.3,294,0.0,0.08,0.0369458012282848,0.75,148,1,0,3.3,12.8,2022-11-06,73,18,0,0,0,0,15,0,93811,1,2,1,17.0,2,-11371,3429,14800,50,False,0,Harvey Elliott,319,2,0,0,0.0369458012282848,12,TOT,1140,1170,LIV,1250,1300,2.0865675,10.25,1.87808075,8.25,2.114225916666667,12.333333333333334,1.6537033333333333,7.0,1.7280865,8.0,1.0716755,6.0,1.6684216923076922,7.384615384615385,1.1448208461538465,7.769230769230769,2022,MID,
1,0,22,0,19.3,294,0.4464859962463379,0.52,0.0,0.95,154,1,0,4.1,19.4,2022-11-12,67,17,0,0,0,0,16,0,91971,1,1,3,2.0,5,-2588,5969,8557,50,True,0,Harvey Elliott,319,0,1,0,0.0,12,SOU,1070,1080,LIV,1180,1260,1.9531375,10.5,2.1045475,5.0,2.0643223846153846,11.923076923076923,1.6662923076923075,6.769230769230769,1.21793575,6.75,1.203568,6.75,1.0514677142857145,6.0,1.4575792857142855,7.785714285714286,2022,MID,
0,0,2,0,0.2,294,0.0,0.0,0.0,0.14,162,0,0,0.2,1.4,2022-12-26,23,2,0,0,0,0,17,0,88969,0,3,1,0.0,1,-4008,21643,25651,50,False,0,Harvey Elliott,319,0,0,0,0.0,12,AVL,1070,1070,LIV,1250,1300,2.0790175,11.0,1.8414925,6.25,2.1128836428571427,11.785714285714286,1.6497192857142855,6.928571428571429,1.36497925,5.5,1.634749,8.75,1.1569939333333332,6.2,1.422414,6.933333333333334,2022,MID,
0,0,7,0,15.1,294,0.0156449992209672,0.02,0.0,0.99,174,1,0,2.9,8.0,2022-12-30,85,11,0,0,0,0,18,0,84406,1,1,2,6.0,2,-4789,1781,6570,50,True,0,Harvey Elliott,319,0,1,0,0.0,12,LEI,1110,1120,LIV,1180,1260,2.4063725,9.75,1.6389725,6.0,2.2058207333333333,11.533333333333331,1.652508,6.8,1.21953675,5.5,1.140317,9.25,1.0344778125,6.25,1.4275739375,7.0,2022,MID,
0,0,9,0,32.5,294,0.0784178972244262,0.24,0.0,1.44,183,2,0,4.4,7.2,2023-01-02,45,4,0,0,0,0,19,0,75428,1,1,3,4.0,0,-8962,369,9331,50,False,1,Harvey Elliott,319,0,2,0,0.0,12,BRE,1100,1130,LIV,1250,1300,2.4353075000000004,7.75,1.451623,5.25,2.1944963125,11.1875,1.60318325,6.5625,2.0693775,6.5,1.23138425,11.5,1.6428731250000002,6.1875,1.51258975,9.0,2022,MID,
