assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position,modified
0,0,17,0,0.0,478,0.0,0.0,0.0,0.8,5,2,0,2.4,24.0,2022-08-06,90,24,0,0,0,0,1,3,323035,1,1,2,0.0,2,0,0,0,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,LEE,1070,1130,WOL,1100,1080,1.0855256,6.6,1.147807,7.0,1.0855256,6.6,1.147807,7.0,1.458014,5.8,1.1968984,5.8,1.458014,5.8,1.1968984,5.8,2022,GK,
0,3,43,1,0.0,478,0.0,0.0,0.0,1.49,20,0,0,4.8,48.4,2022-08-13,90,9,0,0,1,0,2,3,320020,1,0,0,0.0,15,-24857,7818,32675,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,FUL,1065,1140,WOL,1100,1060,1.10119,9.0,0.88917,5.0,1.10119,9.0,0.88917,5.0,1.26822,4.0,2.34111,11.0,1.26822,4.0,2.34111,11.0,2022,GK,
0,0,14,0,0.0,478,0.0,0.0,0.0,1.68,29,1,0,2.3,22.8,2022-08-20,90,18,0,0,0,0,3,3,398294,1,0,1,0.0,3,31032,58999,27967,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,TOT,1140,1170,WOL,1100,1080,1.0382825,5.0,0.98865,3.5,1.0382825,5.0,0.98865,3.5,1.60214,7.0,1.112998,9.5,1.60214,7.0,1.112998,9.5,2022,GK,
0,0,20,0,0.0,478,0.0,0.0,0.0,1.77,40,1,0,3.4,33.8,2022-08-28,90,15,0,0,0,0,4,5,447476,1,1,1,0.0,3,21558,53958,32400,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,NEW,1300,1220,WOL,1100,1060,0.920896,5.333333333333333,1.1477933333333334,5.0,0.920896,5.333333333333333,1.1477933333333334,5.0,1.4185839999999998,11.666666666666666,1.8393316666666664,8.666666666666666,1.4185839999999998,11.666666666666666,1.8393316666666664,8.666666666666666,2022,GK,
0,0,24,1,0.0,478,0.0,0.0,0.0,0.42,42,0,0,1.9,18.8,2022-08-31,90,3,0,0,0,0,5,2,495340,1,0,0,0.0,6,30225,55681,25456,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,BOU,1020,1050,WOL,1100,1080,0.973792,4.75,1.34425,7.0,0.973792,4.75,1.34425,7.0,0.27615325,2.0,2.18767375,12.0,0.27615325,2.0,2.18767375,12.0,2022,GK,
0,0,22,1,0.0,478,0.0,0.0,0.0,1.2,60,0,0,0.9,9.4,2022-09-03,90,17,0,0,0,0,6,1,542035,1,0,1,0.0,6,30677,58225,27548,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,SOU,1070,1080,WOL,1100,1060,1.0816095,6.0,1.21246625,7.5,1.0855256,6.6,1.147807,7.0,1.362585,5.5,1.2720445,8.0,1.1673772,5.8,1.3410756,8.8,2022,GK,
0,0,19,0,0.0,478,0.0,0.0,0.0,1.06,80,3,0,2.7,27.0,2022-09-17,90,13,0,0,0,0,8,4,565753,1,3,0,0.0,2,-2192,22414,24606,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,MCI,1340,1380,WOL,1100,1060,1.11286325,7.75,1.24252875,10.0,1.0880029999999998,6.833333333333333,1.1579024999999998,7.833333333333333,2.954535,13.0,0.8284549999999999,3.25,2.6826950000000003,12.333333333333334,0.6139923333333334,2.5,2022,GK,
0,0,13,0,0.0,478,0.0,0.0,0.0,0.92,90,2,0,2.3,22.6,2022-10-01,90,19,0,0,0,0,9,3,624687,1,0,2,0.0,2,39986,68428,28442,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,WHU,1145,1060,WOL,1100,1080,1.01908125,7.25,1.23205875,10.0,0.977001857142857,6.428571428571429,1.195945,7.857142857142857,0.9830525,2.25,0.5332257499999999,4.25,1.0047674285714283,3.4285714285714284,1.2169204285714286,4.857142857142857,2022,GK,
0,0,20,0,0.0,478,0.0,0.0,0.0,1.91,94,3,0,3.0,30.0,2022-10-08,90,6,0,0,0,0,10,4,619353,1,0,3,0.0,2,-6562,31433,37995,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,CHE,1190,1140,WOL,1100,1080,0.87995825,9.0,1.00848875,7.75,0.926875125,6.875,1.176369375,7.375,1.30406325,6.5,1.38264,4.0,1.3816207142857144,7.428571428571429,1.4099047142857144,3.142857142857143,2022,GK,
0,3,39,1,0.0,478,0.0,0.0,0.0,1.49,110,0,0,3.4,34.4,2022-10-15,90,16,0,0,1,0,11,2,721289,1,0,1,0.0,14,88622,109241,20619,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,NFO,1100,1105,WOL,1100,1060,0.6839555,6.5,1.52571,8.75,0.90705,6.555555555555555,1.315763888888889,7.777777777777778,1.046849,3.0,1.040382,7.0,0.9827063333333332,3.4444444444444446,1.758152,9.555555555555555,2022,GK,
0,0,11,0,0.0,478,0.0,0.0,0.0,1.2,115,2,0,1.7,16.6,2022-10-18,90,7,0,0,0,0,12,2,829129,1,1,2,0.0,1,61211,81259,20048,51,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,CRY,1110,1060,WOL,1100,1080,0.714778,5.75,1.5355175,6.5,0.938713,6.4,1.3089485,7.3,0.90730325,3.0,1.5502115,11.25,1.140108,3.555555555555556,1.6311137777777778,11.88888888888889,2022,GK,
0,0,10,0,0.0,478,0.0,0.0,0.0,0.89,130,4,0,0.6,6.2,2022-10-23,90,11,0,0,0,0,13,0,793110,1,4,0,0.0,0,9202,46400,37198,51,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,LEI,1110,1120,WOL,1100,1060,0.8514885,6.75,1.49351,6.5,0.9313606363636364,6.545454545454546,1.3041504545454543,7.363636363636363,1.01490625,8.0,0.978012,4.25,0.9713111818181818,6.636363636363637,1.5147331818181815,5.818181818181818,2022,GK,
0,0,13,0,0.0,478,0.0,0.0,0.0,1.41,133,1,0,2.0,20.4,2022-10-29,90,4,0,0,0,0,14,2,746137,1,1,1,0.0,2,-48063,14032,62095,51,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,BRE,1100,1130,WOL,1100,1080,1.111954,7.0,1.48094375,6.75,0.9885680833333332,6.916666666666667,1.2778941666666668,7.166666666666667,1.37448,5.5,2.1541412500000003,11.5,1.47057975,5.833333333333333,1.5978324166666669,8.416666666666666,2022,GK,
0,0,19,0,0.0,478,0.0,0.0,0.0,1.57,150,3,0,3.0,30.2,2022-11-05,90,5,0,0,0,0,15,5,721883,1,3,2,0.0,2,-26240,13804,40044,51,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,BHA,1150,1200,WOL,1100,1060,1.064243,6.5,1.19635625,5.5,0.955417076923077,6.538461538461538,1.2790230769230768,7.076923076923077,1.9170475,9.75,1.2598232500000002,7.75,1.849367083333333,8.583333333333334,1.1351008333333332,6.75,2022,GK,
0,0,11,0,0.0,478,0.0,0.0,0.0,2.11,160,2,0,1.2,11.8,2022-11-12,90,1,0,0,0,0,16,1,674247,1,2,0,0.0,1,-48768,6117,54885,51,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,ARS,1250,1320,WOL,1100,1060,1.081453,5.75,1.35289125,9.25,0.9794958571428573,6.214285714285714,1.3215035714285714,7.857142857142857,1.94654425,9.25,0.7824787500000001,5.5,2.097229,11.846153846153848,0.8691134615384615,4.153846153846154,2022,GK,
0,0,17,0,0.0,478,0.0,0.0,0.0,1.73,166,1,0,2.5,25.4,2022-12-26,90,8,0,0,0,0,17,4,587034,1,2,1,0.0,3,-91492,59890,151382,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,EVE,1070,1040,WOL,1100,1080,0.9950785,4.75,1.60883875,8.25,0.9483520666666668,6.066666666666666,1.3854006666666667,7.6,1.316819,6.5,1.7714667499999996,8.5,1.0813999133333332,5.333333333333333,1.6919322,8.2,2022,GK,
0,0,23,0,0.0,478,0.0,0.0,0.0,1.99,180,1,0,4.7,46.8,2022-12-31,90,14,0,0,0,0,18,6,569678,1,1,0,0.0,4,-18734,5076,23810,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,MUN,1220,1220,WOL,1100,1060,0.8958060000000001,3.5,1.6682025,8.0,0.9653775625,6.0625,1.37547125,7.375,1.94547725,11.0,0.93953725,4.5,1.5990088,9.066666666666666,1.1880236666666666,7.6,2022,GK,
0,0,12,0,0.0,478,0.0,0.0,0.0,1.61,182,1,0,1.5,15.2,2023-01-04,90,2,0,0,0,0,19,2,562788,1,1,1,0.0,2,-7715,6190,13905,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,AVL,1070,1070,WOL,1100,1080,0.90332275,3.5,1.95688,9.75,0.9332826875,5.625,1.472853125,7.875,1.16045325,5.75,1.35565475,7.75,1.235930875,5.875,1.551512,7.1875,2022,GK,
0,3,30,1,0.0,478,0.0,0.0,0.0,1.02,200,0,0,2.7,27.4,2023-01-14,90,19,0,0,0,0,20,3,543770,1,0,1,0.0,10,-18766,4756,23522,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,WHU,1150,1110,WOL,1100,1060,0.78832325,3.5,1.7465075,6.25,0.924354375,5.6875,1.46936125,8.0,1.0448702499999998,3.75,1.5665,8.25,1.29501525,4.125,1.1019756875,6.0,2022,GK,
0,0,12,0,0.0,478,0.0,0.0,0.0,2.63,208,3,0,1.9,18.8,2023-01-22,90,13,0,0,0,0,21,3,545943,1,0,3,0.0,2,-1063,12274,13337,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,MCI,1340,1360,WOL,1100,1080,0.8617965000000001,3.75,1.36029375,7.0,0.9318611875,5.625,1.4236753125,7.9375,1.790415,11.0,0.929211975,6.0,2.132193125,13.6875,0.93141518125,4.0,2022,GK,
0,0,24,1,0.0,478,0.0,0.0,0.0,1.91,220,0,0,1.9,18.6,2023-02-04,90,12,0,0,0,0,22,2,530887,1,0,3,0.0,6,-15609,7333,22942,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,LIV,1250,1300,WOL,1100,1060,0.67392575,3.25,1.88555375,8.25,0.890411,5.6875,1.5107971875,7.6875,1.679755,9.25,1.8019255,5.75,2.1066406875,10.1875,1.691548875,6.9375,2022,GK,
0,0,11,0,0.0,478,0.0,0.0,0.0,1.14,229,1,0,1.3,13.0,2023-02-11,90,17,0,0,0,0,23,1,561288,1,2,1,0.0,2,27522,37007,9485,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,SOU,1070,1060,WOL,1100,1080,1.18532775,4.0,1.59921625,8.5,0.95921225,5.125,1.569540625,8.125,0.7575797500000001,5.25,1.484235,7.0,0.98462825,5.75,1.555127625,7.4375,2022,GK,
0,0,8,0,0.0,478,0.0,0.0,0.0,1.01,240,1,0,0.4,3.6,2023-02-18,90,3,0,0,0,0,24,0,585449,1,1,0,0.0,2,23325,32442,9117,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,BOU,1110,1080,WOL,1100,1060,1.13111,4.0,1.66665875,9.25,0.9289160625,4.75,1.57539375,7.8125,1.13191275,4.5,1.74477,7.25,1.093664125,5.125,1.713509125,8.625,2022,GK,
0,0,16,0,0.0,478,0.0,0.0,0.0,0.47,244,1,0,2.7,26.8,2023-02-24,90,9,0,0,0,0,25,4,740837,1,1,1,0.0,3,57095,78586,21491,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,FUL,1070,1120,WOL,1100,1080,1.15740575,5.5,1.7710675,8.5,0.9664423125,5.1875,1.5584275,7.5625,0.87699625,4.5,1.45227225,7.0,1.4113228125,5.5,1.7153394375,6.125,2022,GK,
0,0,18,0,0.0,478,0.0,0.0,0.0,2.51,67,2,0,3.6,35.6,2023-03-01,90,12,0,0,0,0,25,4,740837,1,0,2,0.0,2,57095,78586,21491,50,False,0,José Malheiro de Sá,554,0,0,0,0.0,20,LIV,1180,1260,WOL,1100,1080,1.28936075,6.0,1.16745825,7.75,0.992761625,4.9375,1.5505395625,7.6875,1.76289,8.25,1.4433042499999995,3.5,1.9124125625,8.75,1.766006375,6.375,2022,GK,
0,3,33,1,0.0,478,0.0,0.0,0.0,1.34,260,0,0,4.0,39.6,2023-03-04,90,18,0,0,0,0,26,6,613867,1,0,1,0.0,11,-29353,2971,32324,50,True,0,José Malheiro de Sá,554,0,0,0,0.0,20,TOT,1210,1230,WOL,1100,1060,0.8277432499999999,5.75,1.51745325,7.0,0.9951591875,4.9375,1.5674764375,7.6875,1.2238757500000002,5.0,0.7033202500000001,4.75,1.449568375,6.625,1.25110175,6.5,2022,GK,
