assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position
0,0,0,0,0.0,823,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2024-02-18,0,5,0,0,0,0,25,0,0,0,5,0,0.0,0,0,0,0,45,True,0,Oliver Arblaster,1297,0,0,0,0.0,23,BHA,1180,1240,SHU,1045,1020,1.72318925,6.75,2.084125,6.75,1.14722115,5.125,1.9192064375,8.125,1.45063,7.75,1.7811742500000003,6.25,1.512059625,10.0,1.483716,8.75,2023,MID
0,0,0,0,0.0,823,0.0,0.0,0.0,0.0,260,0,0,0.0,0.0,2024-02-25,0,20,0,0,0,0,26,0,93,0,0,1,0.0,0,53,58,5,45,False,0,Oliver Arblaster,1297,0,0,0,0.0,23,WOL,1085,1115,SHU,1020,1060,1.21633775,5.25,2.3169725,9.25,1.095688275,4.875,2.0375576875,8.625,1.8999425,6.75,2.2583525,11.0,1.5188574375,5.875,1.747313,9.1875,2023,MID
0,0,4,0,10.6,823,0.0456317365169525,0.0,0.0,0.09,269,0,0,1.4,3.2,2024-03-04,26,1,0,0,0,0,27,0,122,0,6,0,0.0,1,35,58,23,45,True,0,Oliver Arblaster,1297,0,1,0,0.0,23,ARS,1370,1360,SHU,1045,1020,1.1878065,4.75,2.3309925,9.0,1.1348249375,5.125,1.9238839375,8.5,2.91266,15.25,0.3214082500000002,2.25,2.327224,14.375,0.7702942500000001,2.5625,2023,MID
0,0,5,0,0.9,823,0.0,0.02,0.0217242818325757,2.65,273,1,0,2.7,8.6,2024-03-09,79,3,0,0,0,0,28,0,155,1,2,2,17.0,2,22,50,28,45,False,0,Oliver Arblaster,1297,1,0,0,0.0217242818325757,23,BOU,1055,1145,SHU,1020,1060,0.85619,3.5,2.20169,13.25,1.0785576875,5.0625,2.0066908125,9.625,1.7622872500000002,9.5,1.8827050000000003,9.75,1.7906769374999998,8.1875,1.3058991875,8.9375,2023,MID
0,0,14,0,10.8,823,0.0401579178869724,0.01,0.0,1.01,299,1,0,2.8,17.0,2024-03-30,84,9,0,0,0,0,30,0,224,1,3,3,0.0,2,26,47,21,45,True,0,Oliver Arblaster,1297,0,1,0,0.0,23,FUL,1180,1170,SHU,1045,1020,0.8398625,3.0,2.742795,14.75,1.1456314375,4.375,2.1842258125,10.3125,1.9821075,10.25,1.6384675000000002,12.25,1.6218914999999998,8.75,1.8112911875,9.8125,2023,MID
0,0,12,0,0.9,823,0.0,0.01,0.0,1.65,308,3,0,1.7,15.8,2024-04-04,90,12,0,0,0,0,31,0,264,1,1,3,0.0,2,26,55,29,45,False,0,Oliver Arblaster,1297,0,0,0,0.0,23,LIV,1210,1270,SHU,1020,1060,1.140369,3.25,2.1795575,13.5,1.20638225,4.1875,2.0569001875,10.5,2.623005,15.25,0.935022,5.5,2.4798358125,13.3125,1.1384472499999998,5.5625,2023,MID
0,0,17,0,54.2,823,0.2360435724258422,0.12,0.0,0.37,318,2,0,8.0,23.8,2024-04-07,90,6,0,0,0,0,32,0,298,1,2,2,2.0,1,30,54,24,45,True,1,Oliver Arblaster,1297,0,5,0,0.0,23,CHE,1150,1230,SHU,1045,1020,1.1570205,2.5,2.5049425000000003,16.25,1.2128083125,4.125,2.0514645625,10.8125,2.9705900000000005,13.0,1.6781787500000005,6.75,2.131014625,10.5625,1.8033870625,8.125,2023,MID
0,0,11,0,3.5,823,0.0,0.02,0.0,1.02,323,2,0,1.1,5.2,2024-04-13,90,4,1,0,0,0,33,0,511,1,0,2,2.0,0,186,222,36,45,False,0,Oliver Arblaster,1297,0,0,0,0.0,23,BRE,1110,1090,SHU,1020,1060,1.5423395,3.5,2.01715475,12.25,1.2695881875,4.375,1.971503875,10.3125,1.56500975,10.0,1.51867375,8.25,1.49582875,7.25,1.8899065625,10.8125,2023,MID
0,0,7,0,4.0,823,0.0321021638810634,0.07,0.0,2.18,338,4,0,1.4,9.6,2024-04-20,90,21,0,0,0,0,34,0,602,1,4,1,0.0,2,53,130,77,45,True,0,Oliver Arblaster,1297,0,1,0,0.0,23,BUR,1050,1050,SHU,1045,1020,1.271584,4.5,1.3081897500000004,9.75,1.2691208125,4.375,1.999383375,10.1875,1.357305,8.5,1.75648225,11.5,1.1662314750000002,5.75,1.84054975,10.6875,2023,MID
0,0,6,0,1.2,823,0.0,0.01,0.0,2.99,288,4,0,3.0,28.8,2024-04-24,90,14,0,0,0,0,34,0,602,1,2,4,0.0,2,53,130,77,45,False,0,Oliver Arblaster,1297,0,0,0,0.0,23,MUN,1130,1120,SHU,1020,1060,1.319064,5.75,1.63839975,8.75,1.3652470625,4.75,1.946268375,9.75,1.2234185,7.0,3.3662775,17.25,1.5174135625,6.9375,2.1325855,11.875,2023,MID
