assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_3,team_deep_rolling_3,team_xGA_rolling_3,team_deep_allowed_rolling_3,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_5,team_deep_rolling_5,team_xGA_rolling_5,team_deep_allowed_rolling_5,team_xG_rolling_13,team_deep_rolling_13,team_xGA_rolling_13,team_deep_allowed_rolling_13,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,team_xG_rolling_20,team_deep_rolling_20,team_xGA_rolling_20,team_deep_allowed_rolling_20,opponent_xG_rolling_3,opponent_deep_rolling_3,opponent_xGA_rolling_3,opponent_deep_allowed_rolling_3,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_5,opponent_deep_rolling_5,opponent_xGA_rolling_5,opponent_deep_allowed_rolling_5,opponent_xG_rolling_13,opponent_deep_rolling_13,opponent_xGA_rolling_13,opponent_deep_allowed_rolling_13,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,opponent_xG_rolling_20,opponent_deep_rolling_20,opponent_xGA_rolling_20,opponent_deep_allowed_rolling_20,season,position,modified
0,0,5,0,1.0,475,0.0,0.0,0.0,2.09,1,3,0,0.6,3.2,2023-08-11,90,13,0,0,0,0,1,0,13803,1,3,0,2.0,2,0,0,0,50,True,0,Sander Berge,622,0,0,0,0.0,21,MCI,1360,1370,BUR,1050,1040,0.8701544,5.6,1.8363136,10.4,0.8701544,5.6,1.8363136,10.4,0.8701544,5.6,1.8363136,10.4,0.8701544,5.6,1.8363136,10.4,0.8701544,5.6,1.8363136,10.4,0.8701544,5.6,1.8363136,10.4,1.4405966666666663,10.666666666666666,1.5700900000000002,8.333333333333334,1.3412925,10.25,1.47406,6.5,1.639978,11.0,1.2074328,5.2,2.0571776923076923,10.846153846153848,0.8186633076923078,4.153846153846154,2.158965,11.1875,0.9097895625,4.25,2.2298143500000003,10.55,0.8943964,4.35,2023,MID,
0,0,1,0,15.3,475,0.0156287904828786,0.02,0.0,2.21,25,3,0,2.3,3.2,2023-08-27,67,2,0,0,0,0,3,0,14433,1,3,1,4.0,1,-1830,345,2175,50,True,1,Sander Berge,622,0,1,0,0.0,21,AVL,1220,1350,BUR,1050,1040,0.311032,4.0,2.40074,9.0,0.311032,4.0,2.40074,9.0,0.311032,4.0,2.40074,9.0,0.311032,4.0,2.40074,9.0,0.311032,4.0,2.40074,9.0,0.311032,4.0,2.40074,9.0,2.4292700000000003,9.333333333333334,2.0915716666666664,4.666666666666667,2.1893225000000003,7.5,1.79830575,6.0,2.111432,8.0,1.6756546,6.0,1.5470185384615385,7.3076923076923075,1.2546755384615385,6.153846153846154,1.6529985,8.0625,1.1943764375,5.5,1.5309173,7.75,1.48093165,6.15,2023,MID,
0,0,8,0,12.3,475,0.0226836558431386,0.01,0.0,1.06,34,2,0,2.5,12.2,2023-09-02,45,18,0,0,0,0,4,0,13132,1,5,2,0.0,1,-1592,248,1840,49,True,0,Sander Berge,622,0,1,0,0.0,21,TOT,1150,1310,BUR,1050,1040,0.4708185,6.0,2.618825,9.0,0.4708185,6.0,2.618825,9.0,0.4708185,6.0,2.618825,9.0,0.4708185,6.0,2.618825,9.0,0.4708185,6.0,2.618825,9.0,0.4708185,6.0,2.618825,9.0,2.08445,13.0,1.612394,9.666666666666666,2.071625,11.0,1.507173,8.75,1.980634,9.4,1.4364263999999998,8.0,1.63396,6.538461538461538,1.6286935384615384,8.23076923076923,1.632306875,6.75,1.6177695625,8.0,1.5506206500000002,6.4,1.4348797000000002,7.35,2023,MID,
0,0,5,0,1.5,475,0.0,0.0,0.0,0.2,47,0,0,1.9,7.8,2023-09-18,26,16,0,0,0,0,5,0,11907,0,1,1,10.0,1,-1367,174,1541,49,False,0,Sander Berge,622,0,0,0,0.0,21,NFO,1050,1080,BUR,1050,1050,0.8692256666666666,6.333333333333333,2.545166666666667,11.333333333333334,0.8692256666666666,6.333333333333333,2.545166666666667,11.333333333333334,0.8692256666666666,6.333333333333333,2.545166666666667,11.333333333333334,0.8692256666666666,6.333333333333333,2.545166666666667,11.333333333333334,0.8692256666666666,6.333333333333333,2.545166666666667,11.333333333333334,0.8692256666666666,6.333333333333333,2.545166666666667,11.333333333333334,1.160888,4.333333333333333,1.954496,11.666666666666666,1.11224225,4.25,1.676527,11.0,0.9770816,3.6,1.5427936,11.0,1.176499923076923,4.307692307692308,1.8659722307692304,11.076923076923077,1.0971756875,4.25,1.848383,11.0,1.07303965,4.15,1.9438849,11.35,2023,MID,
0,0,3,0,2.8,475,0.0,0.22,0.0881740748882293,0.42,54,0,0,1.2,0.0,2023-09-23,17,14,0,0,0,0,6,0,11338,0,1,0,9.0,1,-660,225,885,49,True,0,Sander Berge,622,1,0,0,0.0881740748882293,21,MUN,1210,1230,BUR,1050,1040,1.034765333333333,5.333333333333333,1.980185,11.333333333333334,0.853832,5.0,2.08532375,10.75,0.853832,5.0,2.08532375,10.75,0.853832,5.0,2.08532375,10.75,0.853832,5.0,2.08532375,10.75,0.853832,5.0,2.08532375,10.75,1.5713633333333332,7.333333333333333,1.6030546666666667,6.666666666666667,1.7900325,8.5,1.837051,8.0,1.8262,10.0,1.8140968,8.8,2.1081469230769234,11.923076923076923,1.5687033846153848,7.0,2.26710375,12.625,1.4400129375,6.375,2.1301435,11.5,1.61959135,6.9,2023,MID,
0,0,13,0,23.6,475,0.1404413878917694,0.13,0.0798665732145309,3.13,66,2,0,4.7,17.0,2023-09-30,87,15,0,0,0,0,7,0,11078,1,0,2,6.0,2,-299,405,704,48,False,0,Sander Berge,622,1,2,0,0.0798665732145309,21,NEW,1050,1160,BUR,1050,1050,1.1363783333333333,5.333333333333333,1.3146393333333333,11.333333333333334,1.009935,6.0,1.695207,10.75,0.8701544,5.6,1.8363136,10.4,0.8701544,5.6,1.8363136,10.4,0.8701544,5.6,1.8363136,10.4,0.8701544,5.6,1.8363136,10.4,2.50474,8.666666666666666,0.845216666666667,6.0,2.2836475000000003,7.75,0.8479427500000001,5.75,1.8783488,7.2,0.9234102,6.4,2.4537664615384616,9.153846153846152,1.0600118615384615,6.153846153846154,2.33329625,9.125,1.165399075,6.1875,2.4230405,9.75,1.05279061,5.65,2023,MID,
1,2,25,0,16.4,475,0.3298803865909576,0.05,0.0,1.31,15,1,0,5.0,29.4,2023-10-03,90,22,0,0,0,0,7,0,11078,1,2,1,4.0,7,-299,405,704,48,False,0,Sander Berge,622,0,1,0,0.0,21,LUT,1020,1090,BUR,1050,1050,0.8483146666666667,4.666666666666667,1.5437426666666667,8.333333333333334,1.052746,5.25,1.7572695,10.25,0.9683178,5.8,1.9731976,10.0,0.8587701666666666,5.5,2.0444546666666668,9.833333333333334,0.8587701666666666,5.5,2.0444546666666668,9.833333333333334,0.8587701666666666,5.5,2.0444546666666668,9.833333333333334,1.7360866666666668,7.0,2.057931333333334,7.0,1.807675,7.25,1.8497685,6.75,1.5392882,6.6,2.1626528,8.8,1.5970635,6.333333333333333,2.5301240000000003,10.166666666666666,1.5970635,6.333333333333333,2.5301240000000003,10.166666666666666,1.5970635,6.333333333333333,2.5301240000000003,10.166666666666666,2023,MID,
0,0,8,0,4.3,475,0.0,0.05,0.0517924353480339,1.58,73,4,0,1.0,0.8,2023-10-07,90,6,0,0,0,0,8,0,12595,1,4,1,5.0,2,1261,2199,938,48,True,0,Sander Berge,622,1,0,0,0.0517924353480339,21,CHE,1150,1230,BUR,1050,1040,0.8858330000000002,6.0,1.818671,6.666666666666667,0.8662875000000001,4.75,1.5404520000000002,7.25,1.026238,5.2,1.7119316000000002,9.0,0.8675467142857143,5.428571428571429,1.971044,9.0,0.8675467142857143,5.428571428571429,1.971044,9.0,0.8675467142857143,5.428571428571429,1.971044,9.0,1.5261800000000003,11.0,1.116441,7.333333333333333,1.71574,12.75,1.1249557500000005,6.0,2.0554300000000003,13.6,0.9931128,5.6,1.7100886923076923,11.846153846153848,1.6610333846153844,7.615384615384615,1.5450631875,11.5,1.5881875625,7.25,1.63426655,11.5,1.5193576,6.65,2023,MID,
0,0,0,0,1.2,475,0.0,0.01,0.0,2.79,83,2,0,0.9,7.8,2023-10-21,65,4,0,0,0,0,9,0,12999,1,0,3,0.0,1,365,1384,1019,48,False,1,Sander Berge,622,0,0,0,0.0,21,BRE,1110,1090,BUR,1050,1050,0.892899,4.333333333333333,2.1971333333333334,7.0,0.90353525,5.25,1.85791825,7.5,0.8843584,4.4,1.6274936,7.8,0.878683625,5.125,1.971621,9.125,0.878683625,5.125,1.971621,9.125,0.878683625,5.125,1.971621,9.125,1.4525766666666664,6.333333333333333,1.5362823333333335,9.666666666666666,1.247852,5.75,1.52752675,9.25,1.6126516000000002,7.6,1.6440474000000005,8.4,1.7623285384615386,7.615384615384615,1.313236230769231,7.230769230769231,1.6969084375,7.0625,1.3055281875,6.9375,1.5808001,6.55,1.41485755,7.4,2023,MID,
0,0,1,0,1.1,475,0.0,0.61,0.7038391828536987,0.14,93,1,0,3.1,6.0,2023-10-28,30,3,0,0,0,0,10,0,12650,0,1,2,24.0,1,-370,972,1342,48,False,0,Sander Berge,622,2,0,0,0.7038391828536987,21,BOU,1055,1145,BUR,1050,1050,0.8566590000000001,3.6666666666666665,2.2210300000000003,9.666666666666666,0.8429565000000001,4.0,2.4370625,9.0,0.8614540000000002,4.8,2.1177046,9.0,0.8580664444444444,4.888888888888889,2.1033131111111114,9.77777777777778,0.8580664444444444,4.888888888888889,2.1033131111111114,9.77777777777778,0.8580664444444444,4.888888888888889,2.1033131111111114,9.77777777777778,0.8815216666666665,10.333333333333334,3.1811866666666666,12.666666666666666,1.0586012500000002,8.75,2.9222225,11.5,1.111911,8.8,2.617132,12.6,1.0598150769230767,7.538461538461538,2.2441992307692304,11.923076923076923,1.1411291874999998,7.4375,2.094484625,11.0625,1.28408835,7.4,1.9892364,10.45,2023,MID,
