assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,opponent_xG_rolling_3,opponent_deep_rolling_3,opponent_xGA_rolling_3,opponent_deep_allowed_rolling_3,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_5,opponent_deep_rolling_5,opponent_xGA_rolling_5,opponent_deep_allowed_rolling_5,opponent_xG_rolling_13,opponent_deep_rolling_13,opponent_xGA_rolling_13,opponent_deep_allowed_rolling_13,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,opponent_xG_rolling_20,opponent_deep_rolling_20,opponent_xGA_rolling_20,opponent_deep_allowed_rolling_20,team_xG_rolling_3,team_deep_rolling_3,team_xGA_rolling_3,team_deep_allowed_rolling_3,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_5,team_deep_rolling_5,team_xGA_rolling_5,team_deep_allowed_rolling_5,team_xG_rolling_13,team_deep_rolling_13,team_xGA_rolling_13,team_deep_allowed_rolling_13,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,team_xG_rolling_20,team_deep_rolling_20,team_xGA_rolling_20,team_deep_allowed_rolling_20,season,position
0,0,0,0,0.0,701,0.0,0.0,0.0,0.0,196,0,0,0.0,0.0,2023-01-14,0,13,0,0,0,0,20,0,0,0,1,2,0.0,0,0,0,0,60,True,0,Wout Weghorst,976,0,0,0,0.0,14,MCI,1340,1380,MUN,1140,1165,2.748513333333333,12.0,0.3911096333333335,4.666666666666667,2.462635,15.5,1.115862225,5.0,2.448772,14.6,1.06146658,4.2,2.203936923076923,13.846153846153848,0.8971843769230768,3.5384615384615383,2.27505875,13.625,0.88075118125,3.5,2.293431176470588,13.470588235294118,0.8434239352941176,3.411764705882353,2.5192633333333334,16.0,0.5812566666666666,2.0,2.7336075,13.5,0.8614875000000001,3.0,2.2903238000000004,12.8,0.8049026000000001,3.4,1.8252264615384617,9.615384615384617,1.0068014615384615,6.384615384615385,1.7490757499999998,9.6875,1.0848843125,7.0625,1.7297789411764706,9.529411764705882,1.122767588235294,6.941176470588236,2022,FWD
0,0,7,1,13.3,701,0.0185282006859779,0.12,0.0733143016695976,0.33,63,0,0,2.8,8.2,2023-01-18,68,7,0,0,0,0,20,0,0,1,1,1,6.0,2,0,0,0,60,False,0,Wout Weghorst,976,1,1,0,0.0733143016695976,14,CRY,1110,1060,MUN,1220,1220,1.125843666666667,6.333333333333333,1.5636096666666666,8.666666666666666,0.94982125,5.25,1.84752475,9.75,0.988961,4.8,1.7255238,8.6,0.9588180769230767,4.923076923076923,1.4746823846153845,8.461538461538462,1.015334,4.625,1.4986299374999998,8.6875,1.0609107777777778,4.666666666666667,1.5361138333333333,9.555555555555555,2.467796666666666,11.666666666666666,0.6678813333333333,4.666666666666667,2.3850175,14.25,0.62018,4.0,2.583342,12.6,0.83658,4.4,1.893118,9.461538461538462,1.0161617692307692,7.0,1.816965875,9.5625,1.0442030625,7.5,1.743806777777778,9.5,1.1013332777777778,7.111111111111111,2022,FWD
0,0,1,0,2.5,701,0.0,0.0,0.0,2.93,201,3,0,1.3,6.0,2023-01-22,90,1,0,0,0,0,21,0,40973,1,2,3,4.0,2,39734,43206,3472,60,False,0,Wout Weghorst,976,0,0,0,0.0,14,ARS,1250,1240,MUN,1220,1220,2.0780056666666664,8.333333333333334,1.275491,7.0,2.03057425,9.75,1.21324825,5.5,2.0804514,8.6,1.0730664,5.2,2.0180564615384613,10.076923076923077,1.0255575384615383,4.769230769230769,2.07622025,10.875,0.922922375,4.1875,2.092568555555556,10.944444444444445,0.9257670555555556,4.444444444444445,2.116826666666667,11.333333333333334,0.6097703333333334,5.0,2.19944,11.75,0.60424575,4.25,2.186888,13.8,0.5788118,3.8,1.844297230769231,10.0,0.9385432307692306,6.0,1.7780115,9.8125,0.974848625,6.6875,1.725415368421053,9.63157894736842,1.065123052631579,6.894736842105263,2022,FWD
0,0,5,0,30.8,701,0.3254680037498474,0.58,0.0560960993170738,0.57,216,0,0,6.2,8.0,2023-02-04,58,7,0,0,0,0,22,0,142311,1,1,2,23.0,1,98158,114783,16625,60,True,0,Wout Weghorst,976,1,3,0,0.0560960993170738,14,CRY,1110,1090,MUN,1140,1165,0.527953,3.0,1.6560266666666668,11.333333333333334,0.592846,4.25,1.658305,10.75,0.8248048000000001,5.0,1.5058078,10.2,0.8908202307692308,4.923076923076923,1.3728693076923075,8.692307692307692,0.8742806875,4.4375,1.4766975624999998,8.9375,0.99214435,4.5,1.52441295,9.85,1.2162986666666666,7.333333333333333,1.3510063333333333,9.333333333333334,1.6556815,8.75,1.18301025,7.5,1.8140012,9.6,1.0639426,6.4,1.7334430769230769,9.692307692307692,0.9302124615384616,5.846153846153846,1.7110525,9.1875,1.071339875,6.9375,1.6527569,9.2,1.1570034,7.3,2022,FWD
0,0,3,0,13.2,701,0.0091216703876852,0.01,0.0,0.54,76,2,0,1.9,3.4,2023-02-08,58,24,0,0,0,0,22,0,142311,1,2,2,2.0,1,98158,114783,16625,60,True,0,Wout Weghorst,976,0,1,0,0.0,14,LEE,1075,1120,MUN,1140,1165,1.320332,5.0,0.7165433333333331,3.6666666666666665,1.304674,5.5,0.8605200000000003,3.5,1.1471589999999998,5.2,1.246108,4.6,1.3954866153846155,6.461538461538462,1.6955681538461538,6.076923076923077,1.330091375,6.75,1.7412016250000002,6.1875,1.3763011,6.4,1.6335913999999998,6.25,1.2456553333333331,8.0,1.5652896666666667,7.333333333333333,1.4298115,8.25,1.35820475,8.0,1.7386152000000004,9.2,1.2223682,6.8,1.75223,9.923076923076923,1.008209076923077,5.615384615384615,1.77171875,9.1875,1.11912325,7.0625,1.6852229,9.4,1.1395484,7.25,2022,FWD
1,0,20,1,22.9,701,0.2518590092658996,0.02,0.0,1.83,225,0,0,5.4,28.6,2023-02-12,90,24,0,0,0,0,23,0,100587,1,2,0,2.0,5,-39852,6409,46261,60,False,0,Wout Weghorst,976,0,2,0,0.0,14,LEE,1070,1130,MUN,1220,1220,0.6842813333333333,6.0,0.8345699999999997,5.666666666666667,1.1289485,4.75,1.0374250000000005,5.5,1.1546988,5.2,1.08843,5.0,1.356191076923077,6.0,1.7223473846153845,6.538461538461538,1.299421875,6.4375,1.7929628750000002,6.6875,1.3595825,6.35,1.6785354,6.35,1.447555333333333,7.666666666666667,1.6124426666666667,7.666666666666667,1.434259,8.75,1.31266675,6.5,1.5438632,8.8,1.1975234,7.2,1.797153846153846,10.153846153846152,0.9902589230769232,5.230769230769231,1.7699081250000002,9.5625,1.064899375,6.3125,1.7404245,9.4,1.0978958,7.3,2022,FWD
0,0,0,1,17.6,701,0.1549409925937652,1.29,0.8198279738426208,1.42,236,0,0,6.8,11.4,2023-02-19,90,11,0,0,0,0,24,0,88626,1,0,3,39.0,2,-13138,7962,21100,59,True,0,Wout Weghorst,976,6,1,0,0.8198279738426208,14,LEI,1110,1120,MUN,1140,1165,1.7564433333333334,4.333333333333333,1.5203,10.333333333333334,1.51818775,4.0,1.5785075000000002,9.25,1.5049921999999998,4.4,1.529792,8.2,1.2218592307692309,5.307692307692308,1.338012,7.769230769230769,1.2443506249999998,5.875,1.359434125,7.375,1.1896771999999998,5.75,1.4286503,7.3,1.7913899999999998,9.0,1.2754093333333334,4.333333333333333,1.411604,7.0,1.6822395,7.0,1.4081572,8.0,1.4284594,6.2,1.765924615384615,9.76923076923077,1.085113076923077,5.076923076923077,1.744308125,9.5625,0.994936875,5.5625,1.70473,9.25,1.1163268,6.75,2022,FWD
0,0,2,0,3.8,701,0.0,0.01,0.0,1.67,256,3,0,0.4,0.6,2023-03-05,57,12,0,0,0,0,26,0,63243,1,0,7,0.0,1,-1975,9092,11067,58,False,0,Wout Weghorst,976,0,0,0,0.0,14,LIV,1180,1260,MUN,1220,1220,2.0728766666666667,7.666666666666667,1.1748053333333333,3.333333333333333,2.1128850000000003,7.5,0.9816867499999998,3.25,1.950694,8.8,1.3120054,3.6,2.007536923076923,9.23076923076923,1.5633553076923077,5.0,2.0334600000000003,9.1875,1.638952,5.75,1.92996855,9.45,1.6721909,6.25,2.5168166666666667,9.333333333333334,1.2810693333333332,5.333333333333333,2.4052,9.75,1.3057519999999998,5.0,1.9786092,8.0,1.6251476,7.0,2.0363626923076925,10.076923076923077,1.100066923076923,5.384615384615385,1.89559,9.8125,1.059370375,5.5625,1.849882,9.3,1.1182223,6.55,2022,FWD
0,0,1,0,0.3,701,0.0,0.09,0.0648361966013908,0.41,267,0,0,2.1,3.4,2023-03-12,43,17,0,0,0,0,27,0,60757,1,0,0,17.0,1,-3060,9302,12362,57,True,0,Wout Weghorst,976,1,0,0,0.0648361966013908,14,SOU,1070,1080,MUN,1140,1165,0.78466,2.0,1.3359293333333333,11.0,0.9140025000000002,3.25,1.15585975,8.75,0.860079,3.6,1.3981818,9.4,1.041285384615385,4.923076923076923,1.4022768461538462,7.6923076923076925,0.995163875,4.9375,1.3953931875,7.75,0.9705031,5.25,1.47527405,7.7,2.129307333333333,6.666666666666667,2.2437,8.666666666666666,2.096998,7.75,1.8214745,7.5,2.0916684,8.4,1.7331396,6.8,1.966065923076923,9.846153846153848,1.2879407692307692,6.076923076923077,1.859432625,9.5,1.225279125,5.875,1.8367746,8.9,1.2595934999999998,7.15,2022,FWD
0,0,4,1,2.6,701,0.0,0.07,0.0748853981494903,1.81,288,0,0,0.6,0.0,2023-04-02,61,15,0,0,0,0,29,0,58315,1,0,2,6.0,2,5283,10783,5500,56,False,0,Wout Weghorst,976,1,0,0,0.0748853981494903,14,NEW,1250,1165,MUN,1220,1220,1.771783,11.333333333333334,0.8611066666666668,6.0,1.76596725,9.75,1.1872025,6.25,1.7224798,9.0,1.2586780000000002,5.8,1.6569647692307694,8.153846153846153,0.9772951538461538,4.923076923076923,1.749497,8.75,0.91260860625,4.875,1.8722986,9.65,0.940655335,5.0,1.998361,7.666666666666667,2.0066666666666664,8.333333333333334,1.82470825,7.0,1.9779075,7.5,1.8597806,7.8,1.6932856,6.8,1.9963522307692307,9.692307692307692,1.334245923076923,6.0,1.8095064375,9.375,1.257904375,5.6875,1.78086815,9.05,1.247501,6.55,2022,FWD
