h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_3,deep_rolling_3,xGA_rolling_3,deep_allowed_rolling_3,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_5,deep_rolling_5,xGA_rolling_5,deep_allowed_rolling_5,xG_rolling_13,deep_rolling_13,xGA_rolling_13,deep_allowed_rolling_13,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16,xG_rolling_20,deep_rolling_20,xGA_rolling_20,deep_allowed_rolling_20
a,1.88594,4.36748,1.12477,3.60631,"{'att': 369, 'def': 16}","{'att': 110, 'def': 16}",5,17,1,4,0.1878,l,2023-08-12,0,0,1,0,-2.48154,1.6144362,7.4,2.3053947999999997,10.0,1.6144362,7.4,2.3053947999999997,10.0,1.6144362,7.4,2.3053947999999997,10.0,1.6144362,7.4,2.3053947999999997,10.0,1.6144362,7.4,2.3053947999999997,10.0,1.6144362,7.4,2.3053947999999997,10.0
a,0.465741,3.41419,0.465741,3.41419,"{'att': 440, 'def': 23}","{'att': 142, 'def': 20}",4,17,0,3,0.0788,l,2023-08-25,0,0,1,0,-2.948449,1.88594,5.0,4.36748,17.0,1.88594,5.0,4.36748,17.0,1.88594,5.0,4.36748,17.0,1.88594,5.0,4.36748,17.0,1.88594,5.0,4.36748,17.0,1.88594,5.0,4.36748,17.0
h,2.02244,1.22528,2.02244,1.22528,"{'att': 341, 'def': 16}","{'att': 158, 'def': 23}",8,6,1,2,1.9915000000000005,l,2023-09-01,0,0,1,0,0.7971600000000001,1.1758405,4.5,3.890835,17.0,1.1758405,4.5,3.890835,17.0,1.1758405,4.5,3.890835,17.0,1.1758405,4.5,3.890835,17.0,1.1758405,4.5,3.890835,17.0,1.1758405,4.5,3.890835,17.0
a,1.45705,1.75704,1.45705,1.75704,"{'att': 467, 'def': 12}","{'att': 119, 'def': 18}",3,9,0,1,1.1217,l,2023-09-16,0,0,1,0,-0.29999,1.4580403333333336,5.666666666666667,3.0023166666666667,13.333333333333334,1.4580403333333336,5.666666666666667,3.0023166666666667,13.333333333333334,1.4580403333333336,5.666666666666667,3.0023166666666667,13.333333333333334,1.4580403333333336,5.666666666666667,3.0023166666666667,13.333333333333334,1.4580403333333336,5.666666666666667,3.0023166666666667,13.333333333333334,1.4580403333333336,5.666666666666667,3.0023166666666667,13.333333333333334
h,2.24101,0.762984,1.47984,0.762984,"{'att': 191, 'def': 28}","{'att': 186, 'def': 15}",17,1,1,1,2.5128000000000004,d,2023-09-23,0,1,0,1,0.716856,1.3150770000000003,5.0,2.13217,10.666666666666666,1.45779275,5.0,2.6909975,12.25,1.45779275,5.0,2.6909975,12.25,1.45779275,5.0,2.6909975,12.25,1.45779275,5.0,2.6909975,12.25,1.45779275,5.0,2.6909975,12.25
a,1.5102,3.65377,1.5102,3.65377,"{'att': 275, 'def': 22}","{'att': 84, 'def': 15}",1,11,2,1,0.2355999999999999,w,2023-09-30,1,0,0,3,-2.1435700000000004,1.9068333333333334,9.333333333333334,1.2484346666666666,5.333333333333333,1.5465602500000002,8.0,1.7898735,8.25,1.6144362,7.4,2.3053947999999997,10.0,1.6144362,7.4,2.3053947999999997,10.0,1.6144362,7.4,2.3053947999999997,10.0,1.6144362,7.4,2.3053947999999997,10.0
h,1.53058,0.920206,1.53058,0.920206,"{'att': 167, 'def': 13}","{'att': 152, 'def': 19}",4,5,1,2,1.853,l,2023-10-03,0,0,1,0,0.6103740000000001,1.7360866666666668,7.0,2.057931333333334,7.0,1.8076750000000001,7.25,1.8497685000000001,6.75,1.5392882,6.6,2.1626528,8.8,1.5970635,6.333333333333333,2.5301240000000003,10.166666666666666,1.5970635,6.333333333333333,2.5301240000000003,10.166666666666666,1.5970635,6.333333333333333,2.5301240000000003,10.166666666666666
h,0.848118,2.37947,0.848118,2.37947,"{'att': 300, 'def': 25}","{'att': 99, 'def': 21}",6,15,0,1,0.4079,l,2023-10-07,0,0,1,0,-1.531352,1.760596666666667,7.333333333333333,1.7789866666666667,5.666666666666667,1.6847100000000002,6.25,1.7735,6.5,1.7522560000000003,6.6,1.6638560000000002,6.4,1.5875658571428573,6.0,2.3001357142857146,9.428571428571429,1.5875658571428573,6.0,2.3001357142857146,9.428571428571429,1.5875658571428573,6.0,2.3001357142857146,9.428571428571429
a,1.49555,3.27549,1.49555,3.27549,"{'att': 292, 'def': 18}","{'att': 160, 'def': 18}",6,4,2,2,0.3899,d,2023-10-21,0,1,0,1,-1.77994,1.2962993333333335,3.6666666666666665,2.3178153333333333,10.333333333333334,1.532477,7.0,1.9291075000000002,8.0,1.5173916000000003,6.2,1.8946939999999999,8.2,1.495134875,6.0,2.3100525,10.125,1.495134875,6.0,2.3100525,10.125,1.495134875,6.0,2.3100525,10.125
a,0.453117,3.07654,0.453117,3.07654,"{'att': 419, 'def': 17}","{'att': 134, 'def': 10}",2,15,1,3,0.0793,l,2023-10-29,0,0,1,0,-2.623423,1.2914160000000001,5.333333333333333,2.191722,8.0,1.346112,4.25,2.5572340000000002,8.75,1.5250916,6.8,2.198384,7.2,1.4951809999999999,6.0,2.4173233333333335,9.444444444444445,1.4951809999999999,6.0,2.4173233333333335,9.444444444444445,1.4951809999999999,6.0,2.4173233333333335,9.444444444444445
h,1.3411,3.03925,1.3411,3.03925,"{'att': 369, 'def': 17}","{'att': 98, 'def': 26}",1,14,1,1,0.3685,d,2023-11-05,0,1,0,1,-1.69815,0.9322616666666667,4.666666666666667,2.9105000000000003,11.333333333333334,1.0818412499999999,4.5,2.4129265,9.75,1.167513,3.8,2.6610952,10.0,1.3909746,5.6,2.483245,10.0,1.3909746,5.6,2.483245,10.0,1.3909746,5.6,2.483245,10.0
a,0.408265,2.74105,0.408265,2.74105,"{'att': 264, 'def': 13}","{'att': 172, 'def': 21}",4,10,0,1,0.1171,l,2023-11-11,0,0,1,0,-2.332785,1.096589,3.0,3.1304266666666667,11.0,1.03447125,3.75,2.9426875,12.0,1.1336929999999998,3.8,2.5381912,10.6,1.3864405454545456,5.181818181818182,2.533790909090909,10.363636363636363,1.3864405454545456,5.181818181818182,2.533790909090909,10.363636363636363,1.3864405454545456,5.181818181818182,2.533790909090909,10.363636363636363
h,0.996153,1.83546,0.996153,1.83546,"{'att': 302, 'def': 23}","{'att': 168, 'def': 26}",4,10,2,1,0.7188,w,2023-11-25,1,0,0,3,-0.8393070000000001,0.7341606666666668,2.3333333333333335,2.95228,13.0,0.9245079999999999,3.25,3.0330825,10.75,0.90923,3.8,2.9023600000000003,11.6,1.3049259166666667,5.083333333333333,2.5510625,10.333333333333334,1.3049259166666667,5.083333333333333,2.5510625,10.333333333333334,1.3049259166666667,5.083333333333333,2.5510625,10.333333333333334
a,0.227176,3.25952,0.227176,3.25952,"{'att': 300, 'def': 10}","{'att': 141, 'def': 29}",3,4,1,3,0.0421,l,2023-12-02,0,0,1,0,-3.032344,0.9151726666666669,3.0,2.5385866666666668,11.333333333333334,0.79965875,2.75,2.673075,12.25,0.9388369999999998,3.4,2.793558,10.6,1.2811741538461539,5.0,2.496016153846154,10.307692307692308,1.2811741538461539,5.0,2.496016153846154,10.307692307692308,1.2811741538461539,5.0,2.496016153846154,10.307692307692308
h,0.526254,2.58815,0.526254,2.58815,"{'att': 357, 'def': 23}","{'att': 152, 'def': 25}",0,19,3,4,0.1929,l,2023-12-05,0,0,1,0,-2.061896,0.5438646666666668,3.6666666666666665,2.61201,8.0,0.7431734999999999,3.0,2.71882,9.5,0.6851621999999999,2.8,2.790364,10.6,1.153576923076923,4.846153846153846,2.4107884615384614,9.307692307692308,1.2058885714285714,4.857142857142857,2.5505521428571427,9.857142857142858,1.2058885714285714,4.857142857142857,2.5505521428571427,9.857142857142858
h,0.689037,2.23353,0.689037,2.23353,"{'att': 297, 'def': 28}","{'att': 153, 'def': 16}",4,9,1,2,0.3399999999999999,l,2023-12-10,0,0,1,0,-1.544493,0.5831943333333335,2.3333333333333335,2.5610433333333336,11.0,0.539462,2.75,2.6060450000000004,10.75,0.6997895999999999,2.4,2.692686,11.4,1.1582317692307693,4.538461538461538,2.347246923076923,9.461538461538462,1.1605796,4.533333333333333,2.5530586666666664,10.466666666666667,1.1605796,4.533333333333333,2.5530586666666664,10.466666666666667
h,1.81844,1.41488,1.81844,1.41488,"{'att': 311, 'def': 28}","{'att': 117, 'def': 22}",2,16,1,0,1.7094,w,2023-12-23,1,0,0,3,0.4035600000000001,0.4808223333333335,2.3333333333333335,2.6937333333333338,10.666666666666666,0.609655,2.75,2.479165,10.5,0.569377,3.0,2.531542,10.4,1.0556623076923075,4.230769230769231,2.4248046153846152,9.692307692307692,1.1311081875,4.5,2.533088125,10.375,1.1311081875,4.5,2.533088125,10.375
a,0.715575,3.61788,0.715575,3.61788,"{'att': 156, 'def': 21}","{'att': 187, 'def': 25}",3,7,3,2,0.0854,w,2023-12-26,1,0,0,3,-2.902305,1.0112436666666669,2.0,2.0788533333333334,14.666666666666666,0.8152267500000001,2.25,2.3740200000000002,12.0,0.8514120000000001,2.6,2.266308,11.6,1.0834615384615385,4.153846153846154,2.398484615384615,10.23076923076923,1.1268894375,4.3125,2.348550625,10.3125,1.1715394705882352,4.352941176470588,2.4673111764705884,10.705882352941176
h,2.64093,1.57463,2.64093,1.57463,"{'att': 247, 'def': 32}","{'att': 222, 'def': 25}",5,4,2,3,2.1866,l,2023-12-30,0,0,1,0,1.0663,1.074350666666667,3.0,2.4220966666666666,10.666666666666666,0.9373265000000001,2.25,2.46361,12.75,0.7952964,2.4,2.622792,11.0,0.9661203846153845,3.076923076923077,2.618092,10.692307692307692,1.1425040625,4.25,2.36128125,9.6875,1.146208111111111,4.277777777777778,2.5312316666666668,10.5
a,0.965167,1.52023,0.965167,1.52023,"{'att': 140, 'def': 21}","{'att': 305, 'def': 16}",7,5,1,1,0.911,d,2024-01-12,0,1,0,1,-0.555063,1.7249816666666666,3.3333333333333335,2.2024633333333337,9.0,1.4659955,3.5,2.21023,9.0,1.2780472,2.8,2.285814,11.0,1.0530996153846155,3.3846153846153846,2.4581581538461537,10.153846153846153,1.1811596875,4.0625,2.3831156250000003,9.5625,1.2248776842105265,4.315789473684211,2.480884210526316,10.157894736842104
h,3.63312,1.01366,3.63312,1.01366,"{'att': 324, 'def': 25}","{'att': 170, 'def': 24}",5,2,4,0,2.8399,w,2024-01-30,1,0,0,3,2.61946,1.4405573333333335,5.0,2.23758,5.333333333333333,1.535028,4.25,2.031905,8.0,1.3658298,4.2,2.0722300000000002,8.2,1.0096063076923076,3.6153846153846154,2.5043138461538463,10.153846153846153,1.150417,4.3125,2.368315,9.3125,1.2118921500000002,4.45,2.4328515,9.9
a,2.67463,2.37353,1.91346,2.37353,"{'att': 198, 'def': 28}","{'att': 192, 'def': 28}",8,9,4,4,1.6034,d,2024-02-03,0,1,0,1,-0.4600700000000002,2.4130723333333335,5.666666666666667,1.3695066666666669,3.6666666666666665,1.988698,5.0,1.9316,4.5,1.9546464000000001,4.4,1.828256,6.8,1.2238372307692307,3.5384615384615383,2.3992515384615385,9.153846153846153,1.237423875,3.5625,2.38398225,9.375,1.29925115,4.45,2.2651605,9.15
h,1.76215,1.98283,1.00099,1.22166,"{'att': 64, 'def': 16}","{'att': 269, 'def': 18}",9,4,1,3,1.1653,l,2024-02-10,0,0,1,0,-0.2206699999999999,2.4243056666666667,6.666666666666667,1.6358066666666666,5.333333333333333,2.47846175,6.25,1.6205125,5.0,2.1258844,5.6,2.0199860000000003,5.4,1.3145356923076923,3.6923076923076925,2.32987,9.538461538461538,1.31020075,4.0,2.3039672500000004,9.25,1.4096956,4.65,2.2131275,8.75
h,1.57234,3.58973,1.57234,3.58973,"{'att': 210, 'def': 19}","{'att': 247, 'def': 29}",11,9,1,2,0.3598,l,2024-02-18,0,0,1,0,-2.01739,2.689966666666667,7.333333333333333,1.790006666666667,5.0,2.2587667500000004,7.25,1.7225625,5.0,2.3351994,6.8,1.6929760000000003,4.8,1.4152305384615382,4.230769230769231,2.2457384615384615,8.692307692307692,1.3246738749999998,4.3125,2.3703812500000003,9.1875,1.3966811,4.7,2.251005,8.65
a,0.956512,3.70302,0.956512,3.70302,"{'att': 246, 'def': 20}","{'att': 168, 'def': 35}",4,16,1,4,0.1659,l,2024-02-21,0,0,1,0,-2.746508,2.0030400000000004,9.333333333333334,2.6486966666666665,7.333333333333333,2.4105600000000003,8.25,2.2399375,6.0,2.1214814000000004,8.0,2.0959960000000004,5.8,1.4330182307692307,5.0,2.288083076923077,8.307692307692308,1.3699377499999998,4.625,2.4460224999999998,8.8125,1.4024455999999998,5.1,2.3426394999999998,8.65
h,2.43312,2.08586,2.43312,2.08586,"{'att': 287, 'def': 21}","{'att': 224, 'def': 20}",3,6,2,3,1.6418,l,2024-03-02,0,0,1,0,0.3472600000000003,1.4303340000000002,8.0,3.09186,9.666666666666666,1.741408,8.0,2.9122775,9.5,2.1197504,7.4,2.532554,8.0,1.475191076923077,5.0,2.3620807692307695,8.76923076923077,1.336247875,4.5,2.472743125,9.5625,1.3382207,4.45,2.4896412999999997,9.4
a,1.08531,3.25103,1.08531,3.25103,"{'att': 227, 'def': 15}","{'att': 229, 'def': 31}",3,9,1,1,0.2370999999999999,d,2024-03-09,0,1,0,1,-2.1657200000000003,1.653990666666667,6.0,3.1262033333333332,10.333333333333334,1.6810305000000003,6.75,2.84036,8.75,1.8797504,7.0,2.746994,8.8,1.585727,4.923076923076923,2.3813423076923077,8.461538461538462,1.4599980625,4.5625,2.4108256249999998,9.0,1.3843667,4.55,2.4112458,9.15
a,2.79419,2.84403,2.79419,2.84403,"{'att': 219, 'def': 24}","{'att': 159, 'def': 20}",1,7,3,4,1.3778,l,2024-03-13,0,0,1,0,-0.0498400000000001,1.4916473333333335,3.3333333333333335,3.013303333333333,10.333333333333334,1.5118205000000002,5.25,3.15741,10.0,1.5618864000000001,6.0,2.922494,8.8,1.6517373076923079,4.923076923076923,2.3806892307692307,8.846153846153847,1.4440111875000001,4.6875,2.424061875,8.6875,1.3621032,4.5,2.527787,9.35
h,0.853782,1.95268,0.853782,1.95268,"{'att': 110, 'def': 14}","{'att': 240, 'def': 27}",6,6,1,1,0.591,d,2024-03-16,0,1,0,1,-1.098898,2.104206666666667,2.3333333333333335,2.7269733333333335,7.333333333333333,1.817283,2.75,2.9709849999999998,9.5,1.7682943999999998,4.4,3.094734,9.4,1.826193923076923,5.0,2.4003723076923076,7.923076923076923,1.5931315000000001,4.5,2.430498125,8.5,1.4594068,4.25,2.551015,8.95
a,0.402402,2.46523,0.402402,2.46523,"{'att': 332, 'def': 23}","{'att': 130, 'def': 31}",3,22,1,2,0.1581,l,2024-03-30,0,0,1,0,-2.062828,1.577760666666667,3.3333333333333335,2.68258,7.333333333333333,1.7916005000000002,3.25,2.5334000000000003,7.0,1.6245828,3.4,2.767324,8.8,1.8388666153846154,5.153846153846154,2.3787684615384617,7.6923076923076925,1.5842333125,4.625,2.437824375,8.25,1.4273184,4.25,2.4848745,9.05
