h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
h,0.88917,1.10119,0.88917,1.10119,"{'att': 325, 'def': 35}","{'att': 181, 'def': 17}",5,9,2,1,1.156,w,2022-08-06,1,0,0,3,-0.2120199999999998,1.458014,5.8,1.1968984,5.8,1.458014,5.8,1.1968984,5.8
a,1.99694,1.40906,1.99694,1.40906,"{'att': 165, 'def': 34}","{'att': 252, 'def': 19}",9,4,2,2,1.8274,d,2022-08-13,0,1,0,1,0.58788,0.88917,5.0,1.10119,9.0,0.88917,5.0,1.10119,9.0
h,2.20971,0.692492,2.20971,0.692492,"{'att': 274, 'def': 32}","{'att': 139, 'def': 30}",1,7,3,0,2.6486,w,2022-08-21,1,0,0,3,1.5172179999999995,1.443055,7.0,1.255125,6.5,1.443055,7.0,1.255125,6.5
a,1.14874,1.60986,1.14874,1.60986,"{'att': 165, 'def': 30}","{'att': 247, 'def': 20}",5,6,0,1,1.0015,l,2022-08-27,0,0,1,0,-0.46112,1.6986066666666666,5.0,1.0675806666666665,6.666666666666667,1.6986066666666666,5.0,1.0675806666666665,6.666666666666667
h,1.04551,1.17189,1.04551,1.17189,"{'att': 164, 'def': 28}","{'att': 341, 'def': 25}",9,3,1,1,1.2206,d,2022-08-30,0,1,0,1,-0.1263800000000001,1.56114,5.0,1.2031505,6.5,1.56114,5.0,1.2031505,6.5
a,1.796,2.7485,1.796,1.98734,"{'att': 104, 'def': 31}","{'att': 201, 'def': 30}",9,5,2,5,0.7259,l,2022-09-03,0,0,1,0,-0.19134,1.600225,6.0,1.2208255000000001,5.0,1.458014,5.8,1.1968984,5.8
h,0.298626,1.89645,0.298626,1.89645,"{'att': 240, 'def': 18}","{'att': 230, 'def': 24}",6,12,0,0,0.2483,d,2022-10-02,0,1,0,1,-1.597824,1.5499899999999998,6.0,1.5556855,5.25,1.5143449999999998,6.333333333333333,1.4554986666666665,5.666666666666667
a,1.06564,1.65194,1.06564,1.65194,"{'att': 242, 'def': 38}","{'att': 135, 'def': 19}",10,5,1,2,0.8978999999999999,l,2022-10-09,0,0,1,0,-0.5863,1.072219,7.25,1.856675,6.5,1.3406708571428572,6.285714285714286,1.5184917142857144,6.571428571428571
h,2.02232,0.821757,1.26115,0.821757,"{'att': 340, 'def': 28}","{'att': 199, 'def': 19}",8,5,0,1,2.2682,l,2022-10-16,0,0,1,0,0.439393,1.051444,8.5,1.8671950000000002,6.25,1.306292,6.75,1.53517275,6.375
a,1.19464,0.655249,1.19464,0.655249,"{'att': 261, 'def': 30}","{'att': 299, 'def': 28}",5,4,0,2,1.8351,l,2022-10-20,0,0,1,0,0.539391,1.2956465,8.25,1.77966175,6.75,1.3858506666666668,6.888888888888889,1.4559043333333335,6.222222222222222
h,1.96384,2.47512,1.96384,2.47512,"{'att': 181, 'def': 30}","{'att': 279, 'def': 19}",8,3,2,3,1.0389000000000002,l,2022-10-23,0,0,1,0,-0.51128,1.1453065,7.25,1.256349,6.5,1.3667296,6.7,1.3758388,6.0
a,1.61271,1.90889,1.61271,1.90889,"{'att': 410, 'def': 14}","{'att': 131, 'def': 12}",6,14,2,1,1.1673,w,2022-10-29,1,0,0,3,-0.2961799999999999,1.56161,7.75,1.4010164999999999,4.25,1.4210123636363636,6.818181818181818,1.4757734545454546,5.7272727272727275
h,2.22532,1.55594,1.46415,1.55594,"{'att': 157, 'def': 33}","{'att': 200, 'def': 13}",8,5,4,3,1.8841,w,2022-11-05,1,0,0,3,-0.09179,1.6983775,6.75,1.4652539999999998,6.5,1.4369871666666667,6.75,1.5118665,6.416666666666667
a,1.71731,2.58046,1.71731,2.58046,"{'att': 323, 'def': 15}","{'att': 184, 'def': 11}",6,7,3,4,0.8555999999999999,l,2022-11-12,0,0,1,0,-0.8631500000000001,1.7491275,6.75,1.64879975,6.5,1.497628153846154,6.846153846153846,1.5152567692307692,6.3076923076923075
h,0.603751,4.16249,0.603751,4.16249,"{'att': 459, 'def': 17}","{'att': 158, 'def': 20}",7,13,1,3,0.062,l,2022-12-28,0,0,1,0,-3.558739,1.879795,7.0,2.1301025,7.25,1.5133197142857142,6.785714285714286,1.5913427142857144,6.357142857142857
a,0.517099,2.78846,0.517099,2.78846,"{'att': 209, 'def': 23}","{'att': 147, 'def': 23}",4,9,0,0,0.1804,d,2022-12-31,0,1,0,1,-2.271361,1.53977275,6.75,2.551945,9.75,1.4526818,6.8,1.7627525333333334,6.8
h,1.2577,1.29245,1.2577,0.531284,"{'att': 98, 'def': 23}","{'att': 259, 'def': 27}",7,3,2,2,1.2828,d,2023-01-04,0,1,0,1,0.7264160000000001,1.26587,6.25,2.7718375,8.5,1.394207875,6.625,1.82685925,6.9375
a,2.46295,1.64599,2.46295,1.64599,"{'att': 255, 'def': 41}","{'att': 149, 'def': 20}",1,5,1,2,1.9723,l,2023-01-13,0,0,1,0,0.8169600000000001,1.023965,6.0,2.7059650000000004,8.0,1.417241,6.75,1.838813,6.5625
h,0.374736,0.17114,0.374736,0.17114,"{'att': 167, 'def': 23}","{'att': 190, 'def': 27}",7,5,0,0,1.4442,d,2023-01-22,0,1,0,1,0.203596,1.210375,4.75,2.4723475,7.5,1.446366625,6.25,1.853621125,6.625
a,1.12331,0.3325,1.12331,0.3325,"{'att': 100, 'def': 30}","{'att': 303, 'def': 21}",7,1,0,1,2.1578,l,2023-02-05,0,0,1,0,0.79081,1.15312125,4.75,1.4745100000000002,5.5,1.33168075,6.625,1.821036625,6.5
a,0.554798,2.00007,0.554798,2.00007,"{'att': 330, 'def': 27}","{'att': 113, 'def': 20}",4,11,2,2,0.3845,d,2023-02-08,0,1,0,1,-1.445272,1.3046740000000001,5.5,0.8605200000000003,3.5,1.330091375,6.75,1.7412016250000002,6.1875
h,1.89163,1.30375,1.89163,1.30375,"{'att': 338, 'def': 30}","{'att': 115, 'def': 20}",5,5,0,2,1.8255,l,2023-02-12,0,0,1,0,0.58788,1.1289485000000001,4.75,1.0374250000000003,5.5,1.299421875,6.4375,1.7929628750000002,6.6875
a,0.597403,1.53811,0.597403,1.53811,"{'att': 206, 'def': 17}","{'att': 193, 'def': 19}",6,7,0,1,0.5959,l,2023-02-18,0,0,1,0,-0.940707,0.9861185,5.75,0.9518650000000002,5.5,1.30539875,6.1875,1.702666,6.6875
h,0.720048,0.391128,0.720048,0.391128,"{'att': 196, 'def': 36}","{'att': 285, 'def': 26}",10,2,1,0,1.6297,w,2023-02-25,1,0,0,3,0.32892,1.04178525,5.5,1.2936075000000002,6.0,1.3240723125,6.1875,1.68026975,6.375
a,0.633995,1.8678,0.633995,1.8678,"{'att': 340, 'def': 19}","{'att': 211, 'def': 25}",4,8,0,1,0.4814,l,2023-03-04,0,0,1,0,-1.2338049999999998,0.94096975,6.25,1.3082645000000004,6.25,1.3024728125,6.1875,1.601469,6.1875
h,0.596738,1.51388,0.596738,1.51388,"{'att': 339, 'def': 29}","{'att': 197, 'def': 25}",9,10,2,2,0.619,d,2023-03-11,0,1,0,1,-0.917142,0.960769,6.25,1.2751970000000001,5.5,1.2157025,5.9375,1.6668466875,6.375
a,1.6549,2.76358,1.6549,2.76358,"{'att': 333, 'def': 18}","{'att': 134, 'def': 30}",3,11,4,2,0.7138,w,2023-03-18,1,0,0,3,-1.10868,0.637046,7.25,1.3277295000000002,6.75,1.178333625,6.1875,1.720511125,6.75
a,0.497609,3.29548,0.497609,2.53431,"{'att': 336, 'def': 20}","{'att': 152, 'def': 18}",6,6,1,4,0.0723999999999999,l,2023-04-01,0,0,1,0,-2.036701,0.90142025,6.5,1.6340970000000001,7.75,1.159024875,5.875,1.738539875,7.25
h,2.43248,0.613917,2.43248,0.613917,"{'att': 151, 'def': 28}","{'att': 240, 'def': 23}",12,4,2,1,2.5911,w,2023-04-04,1,0,0,3,1.818563,0.8458105,5.5,2.3601850000000004,8.75,1.0893310625,5.875,1.82520175,6.75
h,1.02075,3.22687,1.02075,3.22687,"{'att': 223, 'def': 43}","{'att': 220, 'def': 20}",7,6,1,5,0.2087999999999999,l,2023-04-09,0,0,1,0,-2.20612,1.29543175,7.5,2.0467142500000004,7.75,1.1022785625,6.125,1.7663253125,6.6875
h,1.16748,2.65476,1.16748,2.65476,"{'att': 550, 'def': 17}","{'att': 137, 'def': 32}",2,13,1,6,0.4553999999999999,l,2023-04-17,0,0,1,0,-1.48728,1.40143475,7.0,2.4749617500000003,6.75,1.0587435625000001,6.1875,1.8067259375000002,6.625
a,1.07482,1.43763,1.07482,1.43763,"{'att': 202, 'def': 32}","{'att': 207, 'def': 17}",4,1,1,2,0.9746,l,2023-04-22,0,0,1,0,-0.3628099999999998,1.2795797500000001,6.75,2.4477567500000004,7.25,1.093976625,5.875,1.7124928125,6.625
h,2.09645,2.08594,2.09645,2.08594,"{'att': 211, 'def': 29}","{'att': 128, 'def': 25}",2,7,1,1,1.39,d,2023-04-25,0,1,0,1,0.01051,1.4238825000000002,6.25,1.9832942500000004,6.0,1.1288341875,5.875,1.6280659375,6.125
a,1.33691,2.51723,1.33691,2.51723,"{'att': 213, 'def': 31}","{'att': 251, 'def': 20}",9,8,1,4,0.5937,l,2023-04-30,0,0,1,0,-1.18032,1.3398750000000001,3.75,2.3513,6.75,1.1812560625000001,5.5625,1.6776590625,6.375
a,0.140924,2.83472,0.140924,2.07355,"{'att': 434, 'def': 19}","{'att': 90, 'def': 12}",0,14,1,2,0.0489,l,2023-05-06,0,0,1,0,-1.932626,1.4189150000000001,4.25,2.17389,7.25,1.1108785625000002,6.0625,1.7321115625,6.5625
h,2.01567,2.35118,1.2545,0.82884,"{'att': 221, 'def': 28}","{'att': 105, 'def': 29}",5,9,2,2,1.0808,d,2023-05-13,0,1,0,1,0.4256599999999999,1.162276,3.75,2.2188800000000004,7.5,1.0962653125,5.625,1.8985853124999998,7.125
a,0.645828,2.48001,0.645828,2.48001,"{'att': 287, 'def': 29}","{'att': 165, 'def': 17}",8,15,1,3,0.2746,l,2023-05-21,0,0,1,0,-1.834182,1.3974885000000001,4.0,2.4472675,9.5,1.1520378125,5.5,2.0247528125,7.625
h,1.19151,2.03315,1.19151,2.03315,"{'att': 252, 'def': 29}","{'att': 206, 'def': 15}",6,5,1,4,0.7657999999999999,l,2023-05-28,0,0,1,0,-0.8416399999999999,1.0348330000000001,5.5,2.5457850000000004,11.5,1.1577271875000001,5.75,2.0547490625,7.875
