iter	RMSE
0	3.827563715
1	3.826405767
2	3.823938977
3	3.821726549
4	3.819443683
5	3.817957209
6	3.815690166
7	3.812984551
8	3.811147201
9	3.809137327
10	3.807148009
11	3.80597181
12	3.804719502
13	3.801734354
14	3.799792533
15	3.797903431
16	3.796480025
17	3.795373221
18	3.793034712
19	3.79143268
20	3.789926266
21	3.788844613
22	3.787357455
23	3.785349003
24	3.784060001
25	3.782771384
26	3.781510729
27	3.78014794
28	3.778356851
29	3.777491507
30	3.776278267
31	3.775543692
32	3.775123478
33	3.773112344
34	3.772401548
35	3.770087312
36	3.768346594
37	3.767895631
38	3.766672805
39	3.765846545
40	3.764683884
41	3.763393915
42	3.762497499
43	3.760703385
44	3.760051709
45	3.759374986
46	3.758368168
47	3.756734883
48	3.755703522
49	3.754818173
50	3.753575164
51	3.752763755
52	3.751546413
53	3.750818078
54	3.75032209
55	3.749759162
56	3.748984655
57	3.748536587
58	3.748103738
59	3.746936077
60	3.745500131
61	3.743848332
62	3.743113539
63	3.741875364
64	3.740445075
65	3.739685337
66	3.739030755
67	3.737650778
68	3.736574721
69	3.735627573
70	3.734126828
71	3.732954603
72	3.731753122
73	3.730651315
74	3.730068096
75	3.728030488
76	3.726690232
77	3.725705186
78	3.72517278
79	3.724264132
80	3.723988483
81	3.723024374
82	3.722148602
83	3.72150987
84	3.72097088
85	3.720114075
86	3.719037785
87	3.718386656
88	3.7171295
89	3.716826981
90	3.716173885
91	3.714588019
92	3.714027183
93	3.713355755
94	3.712863479
95	3.712475867
96	3.712009711
97	3.711181157
98	3.710598274
99	3.709604135
100	3.708785814
101	3.708242662
102	3.707758722
103	3.707137709
104	3.706714757
105	3.705854883
106	3.70518169
107	3.704563345
108	3.703179738
109	3.702431617
110	3.701313661
111	3.70067774
112	3.700242694
113	3.699674585
114	3.699023742
115	3.69821748
116	3.697861208
117	3.697023505
118	3.696382324
119	3.696215007
120	3.695157461
121	3.694251637
122	3.692862183
123	3.692384661
124	3.691754995
125	3.690986095
126	3.690834844
127	3.690082601
128	3.689409622
129	3.688490307
130	3.687710116
131	3.686842441
132	3.686497126
133	3.685760533
134	3.685394964
135	3.684754276
136	3.683964685
137	3.683602236
138	3.683058915
139	3.682513421
140	3.682016936
141	3.681398897
142	3.681281308
143	3.680911615
144	3.680604949
145	3.68017599
146	3.679606641
147	3.679141923
148	3.678856203
149	3.67807734
150	3.677608985
151	3.676989013
152	3.676498864
153	3.676005394
154	3.674859681
155	3.674564808
156	3.67409149
157	3.673348173
158	3.672527009
159	3.671915179
160	3.671244259
161	3.6707127
162	3.670112031
163	3.669358052
164	3.669008392
165	3.668821305
166	3.668341917
167	3.667767332
168	3.667021981
169	3.666165901
170	3.665953988
171	3.665403585
172	3.664525146
173	3.663758009
174	3.66335448
175	3.662460308
176	3.662095953
177	3.66173214
178	3.66125625
179	3.660878298
180	3.660732068
181	3.660423643
182	3.659891871
183	3.659257716
184	3.658849521
185	3.658509728
186	3.658364122
187	3.657617854
188	3.6572616
189	3.656610941
190	3.656200545
191	3.655973239
192	3.655857758
193	3.655362565
194	3.655084922
195	3.654641853
196	3.653682259
197	3.653504113
198	3.653146854
199	3.652540325
200	3.652149619
201	3.651779334
202	3.651448015
203	3.650702807
204	3.649445145
205	3.649263719
206	3.648580429
207	3.648150613
208	3.647426484
209	3.646425964
210	3.646158324
211	3.646011668
212	3.645421932
213	3.644985783
214	3.644640455
215	3.644640454
216	3.644539708
217	3.644525516
218	3.644329572
219	3.643642956
220	3.643201778
221	3.642883997
222	3.642588325
223	3.642351276
224	3.642251381
225	3.641604227
226	3.641329155
227	3.641212726
228	3.641045074
229	3.640326042
230	3.639809075
231	3.639236604
232	3.639236604
233	3.638151133
234	3.637953388
235	3.637233706
236	3.636831059
237	3.636552908
238	3.636519705
239	3.636164473
240	3.635890487
241	3.635261823
242	3.635261822
243	3.635056175
244	3.634719951
245	3.634190819
246	3.633704725
247	3.63355535
248	3.633254006
249	3.632959611
250	3.632668142
251	3.632431011
252	3.632157027
253	3.631592301
254	3.631382222
255	3.63090042
256	3.630066021
257	3.629588206
258	3.629198142
259	3.62844857
260	3.627893708
261	3.627571078
262	3.627328637
263	3.626830358
264	3.626741741
265	3.626476366
266	3.625436578
267	3.62519341
268	3.624885937
269	3.624389339
270	3.624213109
271	3.62397046
272	3.62344282
273	3.623047958
274	3.622733807
275	3.622447533
276	3.621633848
277	3.621407702
278	3.621288638
279	3.621091595
280	3.620725839
281	3.620599713
282	3.620257476
283	3.619979369
284	3.619197002
285	3.618934739
286	3.618371686
287	3.618291662
288	3.618141062
289	3.617770708
290	3.617637969
291	3.617025417
292	3.617025417
293	3.616843374
294	3.616410339
295	3.616271347
296	3.615715252
297	3.615498166
298	3.615102705
299	3.614857983
300	3.614671866
301	3.614481478
302	3.613841946
303	3.613433488
304	3.613217116
305	3.612913166
306	3.612310961
307	3.61213255
308	3.611706099
309	3.61132306
310	3.611087727
311	3.61066799
312	3.610479966
313	3.610085621
314	3.61000394
315	3.609832108
316	3.60965352
317	3.609376872
318	3.609097098
319	3.608912536
320	3.608144811
321	3.607907028
322	3.607471272
323	3.607446277
324	3.60724908
325	3.606853032
326	3.606492239
327	3.605881966
328	3.605170992
329	3.604812665
330	3.603984713
