Unique_ID,Full_Name,24_id,Understat_ID
1,Fábio Ferreira Vieira,1,11007
2,Gabriel Fernando de Jesus,2,5613
3,Gabriel dos Santos Magalhães,3,5613
4,Kai Havertz,4,5220
5,Karl Hein,5,-1
6,Jurriën Timber,6,11707
7,Jorge Luiz Frello Filho,7,1389
8,Jakub Kiwior,8,10012
9,Gabriel Martinelli Silva,9,7752
12,Ethan Nwaneri,12,11132
13,Martin Ødegaard,13,2517
15,David Raya Martin,15,9676
16,Declan Rice,16,5553
17,Bukayo Saka,17,7322
18,William Saliba,18,6888
20,Thomas Partey,20,2328
21,Kieran Tierney,21,8089
22,Tomiyasu Takehiro,22,7931
23,Leandro Trossard,23,7698
24,Benjamin White,24,7298
25,Oleksandr Zinchenko,25,2958
73,Norberto Murara Neto,73,1297
186,Raheem Sterling,186,618
578,Riccardo Calafiori,578,8129
597,Myles Lewis-Skelly,597,12272
633,Mikel Merino,633,5304
638,Salah-Eddine Oulad M'hand,638,-1
639,Tommy Setford,639,-1
657,Maldini Kacurri,657,-1
658,Ayden Heaven,658,-1
659,Ismeal Kabia,659,-1
662,Josh Nichols,662,-1
665,Nathan Butler-Oyedeji,665,-1
28,Leon Bailey,28,5221
29,Ross Barkley,29,592
30,Enzo Barrenechea,30,-1
31,Emiliano Buendía Stati,31,2203
32,Matty Cash,32,8864
33,Leander Dendoncker,33,7236
34,Moussa Diaby,34,6556
35,Diego Carlos Santos Silva,35,5712
36,Lucas Digne,36,1823
37,Lewis Dobbin,37,10027
38,Jhon Durán,38,11366
39,Joe Gauci,39,-1
40,Kortney Hause,40,-1
41,Samuel Iling-Junior,41,-1
42,Boubacar Kamara,42,5789
43,Kaine Kesler-Hayden,43,9409
44,Ezri Konsa Ngoyo,44,7726
45,Ian Maatsen,45,11807
46,Filip Marschall,46,-1
47,Emiliano Martínez Romero,47,4401
48,John McGinn,48,7723
49,Tyrone Mings,49,1024
50,Kosta Nedeljković,50,12775
51,Robin Olsen,51,6962
52,Pau Torres,52,6221
53,Jacob Ramsey,53,8941
54,Morgan Rogers,54,12412
55,Viljami Sinisalo,55,-1
56,Lino da Cruz Sousa,56,-1
57,Youri Tielemans,57,5956
58,Ollie Watkins,58,8865
233,Amadou Onana,233,9667
569,Jaden Philogene,569,9415
598,Lamare Bogarde,598,10025
640,Sil Swinkels,640,-1
641,Oliwier Zych,641,-1
656,Kadan Young,656,-1
679,Ben Broggio,679,-1
59,Max Aarons,59,7688
60,Tyler Adams,60,7352
61,Jaidon Anthony,61,10746
62,David Brooks,62,6820
63,Ryan Christie,63,10744
64,Lewis Cook,64,1789
65,Enes Ünal,65,6219
66,Romain Faivre,66,6420
67,Hamed Traorè,67,6986
68,James Hill,68,10747
69,Daniel Jebbison,69,9509
70,Milos Kerkez,70,11709
71,Justin Kluivert,71,6963
72,Chris Mepham,72,7384
74,Dango Ouattara,74,9662
75,Alex Paulsen,75,-1
76,Philip Billing,76,6034
77,Alex Scott,77,12149
78,Antoine Semenyo,78,11363
79,Marcos Senesi,79,10864
80,Luis Sinisterra,80,10866
81,Adam Smith,81,825
83,Marcus Tavernier,83,10741
84,Mark Travers,84,7582
85,Illia Zabarnyi,85,11486
152,Kepa Arrizabalaga,152,5061
580,Dean Huijsen,580,11943
592,Julián Araujo Zúñiga,592,11745
599,Will Dennis,599,-1
617,Francisco Evanilson de Lima Barbosa,617,12963
680,Max Kinsey,680,-1
687,Ben Winterburn,687,-1
86,Kristoffer Ajer,86,9677
87,Ethan Brierley,87,-1
88,Nathan Collins,88,9733
89,Mikkel Damsgaard,89,8859
90,Josh Dasilva,90,10405
91,Mark Flekken,91,7047
92,Rico Henry,92,9679
93,Aaron Hickey,93,8942
94,Vitaly Janelt,94,9680
95,Mathias Jensen,95,7166
96,Kim Ji-soo,96,-1
97,Yunus Emre Konak,97,12633
98,Keane Lewis-Potter,98,10809
99,Bryan Mbeumo,99,6552
100,Ben Mee,100,1654
101,Christian Nørgaard,101,7083
102,Frank Onyeka,102,9681
103,Myles Peart-Harris,103,10205
104,Ethan Pinnock,104,9678
105,Mads Roerslev Rasmussen,105,9685
106,Kevin Schade,106,9156
107,Igor Thiago Nascimento Rodrigues,107,-1
108,Ivan Toney,108,998
109,Hákon Valdimarsson,109,-1
110,Yoane Wissa,110,5786
111,Yehor Yarmoliuk,111,11772
112,Mathias Jorgensen,112,6030
314,Fábio Freitas Gouveia Carvalho,314,9501
338,Sepp van den Berg,338,10721
602,Ryan Trevitt,602,11146
634,Gustavo Nunes Fernandes Gomes,634,-1
649,Jayden Meghoma,649,-1
661,Tony Yogane,661,-1
674,Paris Maghoma,674,10053
113,Simon Adingra,113,11710
114,Benicio Baker-Boaitey,114,12204
115,Carlos Baleba,115,10527
116,Valentín Barco,116,12498
118,Amario Cozier-Duberry,118,-1
119,Mahmoud Dahoud,119,205
120,Lewis Dunk,120,6048
121,Julio Enciso,121,11058
122,Pervis Estupiñán,122,5136
123,Evan Ferguson,123,10177
124,Billy Gilmour,124,7988
125,Pascal Groß,125,239
126,Jack Hinshelwood,126,11269
127,Ibrahim Osman,127,-1
128,Igor Julio dos Santos de Paulo,128,7943
129,João Pedro Junqueira de Jesus,129,8272
130,Kacper Kozłowski,130,-1
131,Tariq Lamptey,131,8226
132,Solly March,132,6049
133,Adrian Mazilu,133,-1
134,James Milner,134,489
135,Yankuba Minteh,135,12759
136,Mitoma Kaoru,136,10806
137,Jakub Moder,137,9284
138,Mark O’Mahony,138,12205
139,Odeluga Offiah,139,10453
140,Cameron Peupion,140,11544
141,Jeremy Sarmiento Morante,141,10036
142,Jason Steele,142,7235
143,Deniz Undav,143,10804
144,Jan Paul van Hecke,144,10807
145,Joël Veltman,145,8780
146,Bart Verbruggen,146,11711
147,Adam Webster,147,7699
148,Danny Welbeck,148,501
149,Mats Wieffer,149,12758
595,Brajan Gruda,595,11310
600,Yasin Ayari,600,11385
601,Andrew Moran,601,-1
615,Carl Rushworth,615,-1
618,Georginio Rutter,618,6937
628,Ferdi Kadioglu,628,13066
629,Matt O'Riley,629,13206
663,Imari Samuels,663,-1
668,Killian Cahill,668,-1
681,Ruairi McConville,681,-1
685,Jacob Slater,685,-1
150,Andrey Nascimento dos Santos,150,11808
151,Ângelo Gabriel Borges Damaceno,151,5613
153,Benoît Badiashile,153,7240
154,Lucas Bergström,154,-1
155,Marcus Bettinelli,155,-1
157,Moisés Caicedo Corozo,157,9453
158,Cesare Casadei,158,10433
160,Ben Chilwell,160,782
161,Carney Chukwuemeka,161,9356
162,Levi Colwill,162,10805
163,Marc Cucurella Saseta,163,7134
164,David Datro Fofana,164,11295
165,Deivid Washington de Souza Eugênio,165,12033
166,Kiernan Dewsbury-Hall,166,9739
