Player_A_First_Name,Player_A_Last_Name,Player_B_First_Name,Player_B_Last_Name
Kaine,Kesler-Hayden,Kaine,Kesler Hayden
Lino,da Cruz Sousa,Lino,Sousa
Jaden,Philogene,Jaden,Philogene-Bidace
Luis,Sinisterra,Luis,Sinisterra Lucumí
Max,Kinsey,Max,Kinsey-Wellings
Yunus Emre,Konak,Yunus,Konak
Yehor,Yarmoliuk,Yegor,Yarmolyuk
Yehor,Yarmoliuk,Yegor,Yarmoliuk
Séamus,Coleman,Seamus,Coleman
Asmir,Begovic,Asmir,Begović
Adama,Traoré,Adama,Traoré Diarra
Saša,Lukić,Sasa,Lukic
Omari,Giraud-Hutchinson,Omari,Hutchinson
Tom,Cannon,Thomas,Cannon
Wanya,Marçal-Madivádua,Wanya,Marçal-Madivadua
Stefan,Bajčetić Maquieira,Stefan,Bajcetic
Joe,Gomez,Joseph,Gomez
João,Cavaco Cancelo,João,Cancelo
Rodrigo 'Rodri',Hernandez,Rodrigo,Hernandez
Martin,Dúbravka,Martin,Dubravka
Álex,Moreno Lopera,Alexandre,Moreno Lopera
Ola,Aina,Olu,Aina
Carlos,Alcaraz Durán,Carlos,Alcaraz
Joe,Aribo,Joe,Ayodele-Aribo
Ben,Brereton Díaz,Ben,Brereton
Dominic,Solanke-Mitchell,Dominic,Solanke
Vladimír,Coufal,Vladimir,Coufal
Łukasz,Fabiański,Lukasz,Fabianski
Tomáš,Souček,Tomas,Soucek
Ollie,Scarles,Oliver,Scarles
Fábio,Silva,Fabio,Silva
Joe,Hodge,Joseph,Hodge
Saša,Kalajdžić,Sasa,Kalajdzic
Yerson,Mosquera,Yerson,Mosquera Valdelamar
Yegor,Yarmolyuk,Yegor,Yarmoliuk
Joseph,Whitworth,Joe,Whitworth
Arnaut,Danjuma,Arnaut,Danjuma Groeneveld
